user_id, o, c, e, a, n, cpb-i, cpb-o, dis_ocean, dis_os, email_ratio, cnt_send, cnt_s_size, cnt_s_attach, cnt_s_days
CEL0561,40.0,39.0,36.0,19.0,40.0,-7.81,-20.47,607.319807329,464.0,169.0,5107252.0,99.0,130.0,
JFC0557,22.0,16.0,23.0,40.0,33.0,-12.69,-16.19,823.812844126,532.0,243.0,7459650.0,235.0,155.0,
ASD0577,40.0,48.0,36.0,14.0,37.0,-7.82,-23.79,296.878572791,248.0,32.0,884396.0,0.0,31.0,
MAR0955,36.0,44.0,23.0,44.0,25.0,-25.01,-37.41,196.026702982,152.0,26.0,767719.0,0.0,25.0,
GRM0868,21.0,25.0,20.0,13.0,28.0,-4.17,-10.82,1051.75935819,730.0,220.0,6496556.0,0.0,129.0,
AAL0706,37.0,14.0,28.0,13.0,25.0,-5.93,-12.35,140.369190981,108.0,17.0,561035.0,8.0,17.0,
RVC0232,34.0,20.0,47.0,38.0,25.0,-11.99,-26.77,743.347424907,524.0,621.0,18351051.0,361.0,256.0,
TCD0009,44.0,28.0,44.0,38.0,23.0,-17.5,-33.37,872.443849846,530.0,36.0,981768.0,22.0,36.0,
ASM0575,42.0,25.0,21.0,45.0,30.0,-23.5,-28.37,179.336328668,166.0,50.0,1432329.0,57.0,46.0,
JLM0364,35.0,22.0,15.0,25.0,37.0,-12.14,-13.09,1180.41643379,778.0,733.0,21707457.0,215.0,285.0,
FOB0756,42.0,41.0,34.0,20.0,27.0,-12.78,-28.13,267.497607138,206.0,40.0,1268724.0,44.0,40.0,
GCG0951,33.0,33.0,25.0,19.0,44.0,-6.54,-12.88,293.329133581,230.0,62.0,1828638.0,39.0,55.0,
AAV0450,44.0,24.0,36.0,41.0,33.0,-17.75,-27.18,185.411589292,150.0,18.0,501713.0,17.0,17.0,
CJV0286,18.0,14.0,17.0,13.0,26.0,-2.74,-5.81,482.810039549,292.0,146.0,4738237.0,138.0,111.0,
TDG0962,42.0,40.0,36.0,26.0,21.0,-16.14,-33.21,229.210256534,242.0,48.0,1525108.0,49.0,45.0,
SVL0803,27.0,35.0,20.0,36.0,32.0,-16.5,-24.27,719.469379369,562.0,178.0,5382047.0,65.0,142.0,
MDM0625,18.0,42.0,36.0,27.0,24.0,-8.97,-27.09,1603.45655482,1104.0,455.0,13953114.0,162.0,244.0,
GMF0738,30.0,40.0,45.0,20.0,18.0,-8.43,-30.24,1197.86469381,824.0,567.0,17476217.0,0.0,233.0,
BER0314,23.0,20.0,18.0,19.0,32.0,-6.09,-9.46,1248.36718421,782.0,303.0,9111992.0,56.0,176.0,
AMR0400,19.0,16.0,47.0,28.0,28.0,-1.83,-15.75,976.131759964,586.0,221.0,6360828.0,0.0,163.0,
YCE0983,39.0,21.0,42.0,30.0,36.0,-8.82,-19.41,656.520824037,442.0,255.0,7878883.0,317.0,162.0,
BJW0619,30.0,43.0,47.0,21.0,39.0,-3.8,-22.34,1340.58012581,836.0,380.0,11452642.0,132.0,217.0,
TYB0779,24.0,20.0,35.0,36.0,34.0,-8.97,-17.78,477.276458084,354.0,35.0,991636.0,45.0,35.0,
KBL0260,16.0,15.0,48.0,16.0,32.0,5.6,-7.88,811.419983007,444.0,134.0,3977516.0,0.0,96.0,
HCL0651,21.0,19.0,44.0,36.0,33.0,-5.9,-18.14,534.999700401,372.0,75.0,2309138.0,82.0,70.0,
SCP0130,42.0,18.0,35.0,32.0,24.0,-14.73,-24.46,200.623101134,166.0,54.0,1631868.0,64.0,49.0,
CMW0783,21.0,35.0,14.0,16.0,26.0,-9.04,-16.67,375.940340449,258.0,23.0,748357.0,0.0,21.0,
RKF0164,40.0,42.0,17.0,18.0,42.0,-12.13,-18.16,683.407868052,396.0,585.0,17536341.0,498.0,236.0,
DOL0332,32.0,40.0,41.0,18.0,24.0,-7.73,-26.62,416.042604567,392.0,120.0,3695585.0,117.0,101.0,
RSC0089,41.0,26.0,35.0,21.0,29.0,-9.78,-20.87,596.549294363,460.0,184.0,5306338.0,128.0,114.0,
CCM0136,16.0,16.0,39.0,40.0,29.0,-7.85,-18.49,186.677927976,134.0,25.0,785187.0,21.0,25.0,
NCH0179,17.0,12.0,40.0,17.0,25.0,1.67,-9.55,1281.69575299,732.0,329.0,9970268.0,301.0,205.0,
NBH0256,41.0,43.0,14.0,21.0,22.0,-19.43,-29.12,824.779013728,616.0,171.0,5359240.0,144.0,111.0,
ORG0339,50.0,28.0,46.0,47.0,20.0,-23.39,-40.21,612.517075975,324.0,133.0,3734960.0,71.0,104.0,
FRR0832,43.0,40.0,25.0,19.0,30.0,-14.02,-25.04,275.764855942,242.0,51.0,1515799.0,68.0,47.0,
MSD0939,24.0,37.0,15.0,42.0,31.0,-19.99,-26.73,1281.80384785,804.0,325.0,9957672.0,73.0,180.0,
OQH0183,34.0,38.0,18.0,33.0,23.0,-20.45,-30.1,611.622068203,488.0,135.0,4187649.0,22.0,109.0,
BSH0445,38.0,22.0,30.0,15.0,21.0,-8.83,-19.06,667.67958737,514.0,325.0,9708381.0,211.0,189.0,
NGO0690,43.0,41.0,41.0,17.0,24.0,-10.76,-29.4,778.87201029,584.0,149.0,4722908.0,86.0,105.0,
VCC0396,21.0,45.0,16.0,37.0,23.0,-19.89,-31.33,762.080148328,494.0,167.0,4988097.0,146.0,132.0,
WDD0366,43.0,42.0,17.0,19.0,28.0,-16.82,-25.9,761.27521814,510.0,2240.0,67322445.0,1331.0,323.0,
KPP0452,44.0,46.0,44.0,16.0,19.0,-11.88,-34.15,194.262344702,122.0,16.0,496637.0,14.0,15.0,
RTO0313,44.0,45.0,25.0,17.0,27.0,-14.98,-28.08,1079.94111482,722.0,290.0,8816914.0,273.0,180.0,
ABM0845,45.0,21.0,35.0,50.0,29.0,-22.65,-31.56,295.161252451,222.0,43.0,1299093.0,23.0,38.0,
VIA0063,40.0,34.0,19.0,50.0,33.0,-26.27,-32.23,1515.35909395,922.0,795.0,24205727.0,213.0,277.0,
CCW0031,33.0,47.0,30.0,39.0,33.0,-18.77,-33.01,1236.52242554,774.0,249.0,7142358.0,168.0,178.0,
