user_id, o, c, e, a, n, cpb-i, cpb-o, dis_ocean, dis_os, email_ratio, cnt_send, cnt_s_size, cnt_s_attach, cnt_s_days
CEL0561,40.0,39.0,36.0,19.0,40.0,-7.81,-20.47,356.26030856,262.0,33.0,995931.0,32.0,28.0,
JFC0557,22.0,16.0,23.0,40.0,33.0,-12.69,-16.19,395.006139715,274.0,36.0,1134402.0,36.0,31.0,
ASD0577,40.0,48.0,36.0,14.0,37.0,-7.82,-23.79,197.408553161,160.0,22.0,605373.0,0.0,22.0,
MAR0955,36.0,44.0,23.0,44.0,25.0,-25.01,-37.41,95.5606385681,76.0,7.0,185047.0,0.0,7.0,
GRM0868,21.0,25.0,20.0,13.0,28.0,-4.17,-10.82,398.511577845,278.0,192.0,5652162.0,0.0,105.0,
AAL0706,37.0,14.0,28.0,13.0,25.0,-5.93,-12.35,116.473584691,78.0,8.0,237625.0,4.0,8.0,
RVC0232,34.0,20.0,47.0,38.0,25.0,-11.99,-26.77,366.810293732,216.0,14.0,426540.0,10.0,14.0,
TCD0009,44.0,28.0,44.0,38.0,23.0,-17.5,-33.37,471.073103818,280.0,18.0,482175.0,15.0,18.0,
ASM0575,42.0,25.0,21.0,45.0,30.0,-23.5,-28.37,92.8190994345,90.0,24.0,728091.0,36.0,22.0,
JLM0364,35.0,22.0,15.0,25.0,37.0,-12.14,-13.09,462.511025288,316.0,187.0,5542402.0,69.0,122.0,
FOB0756,42.0,41.0,34.0,20.0,27.0,-12.78,-28.13,159.273302592,110.0,33.0,1066951.0,39.0,33.0,
GCG0951,33.0,33.0,25.0,19.0,44.0,-6.54,-12.88,123.097295702,92.0,19.0,533427.0,18.0,17.0,
AAV0450,44.0,24.0,36.0,41.0,33.0,-17.75,-27.18,92.8665040313,76.0,5.0,128810.0,6.0,5.0,
CJV0286,18.0,14.0,17.0,13.0,26.0,-2.74,-5.81,294.022653421,190.0,87.0,2785242.0,92.0,69.0,
TDG0962,42.0,40.0,36.0,26.0,21.0,-16.14,-33.21,102.48133481,112.0,13.0,360926.0,17.0,13.0,
SVL0803,27.0,35.0,20.0,36.0,32.0,-16.5,-24.27,244.404702971,168.0,10.0,322652.0,2.0,9.0,
MDM0625,18.0,42.0,36.0,27.0,24.0,-8.97,-27.09,739.720066923,534.0,215.0,6469263.0,67.0,113.0,
GMF0738,30.0,40.0,45.0,20.0,18.0,-8.43,-30.24,543.595295821,380.0,231.0,7157610.0,0.0,117.0,
BER0314,23.0,20.0,18.0,19.0,32.0,-6.09,-9.46,482.687350138,332.0,154.0,4603919.0,28.0,101.0,
AMR0400,19.0,16.0,47.0,28.0,28.0,-1.83,-15.75,415.966760813,220.0,13.0,381268.0,0.0,13.0,
YCE0983,39.0,21.0,42.0,30.0,36.0,-8.82,-19.41,262.400082269,174.0,239.0,7399217.0,279.0,147.0,
BJW0619,30.0,43.0,47.0,21.0,39.0,-3.8,-22.34,723.457364418,410.0,166.0,4914969.0,60.0,104.0,
TYB0779,24.0,20.0,35.0,36.0,34.0,-8.97,-17.78,147.921360913,94.0,22.0,667059.0,29.0,22.0,
MAS0025,23.0,14.0,20.0,21.0,23.0,-7.65,-12.11,389.510580326,200.0,12.0,331704.0,0.0,10.0,
KBL0260,16.0,15.0,48.0,16.0,32.0,5.6,-7.88,158.864571659,108.0,114.0,3385279.0,0.0,77.0,
GHL0460,21.0,37.0,24.0,17.0,35.0,-5.13,-14.93,70.7752372585,62.0,4.0,124972.0,9.0,4.0,
FMG0527,43.0,38.0,35.0,38.0,28.0,-19.85,-34.09,252.129874349,226.0,69.0,2015816.0,71.0,55.0,
HCL0651,21.0,19.0,44.0,36.0,33.0,-5.9,-18.14,200.005200921,124.0,27.0,850534.0,25.0,25.0,
SCP0130,42.0,18.0,35.0,32.0,24.0,-14.73,-24.46,118.954152514,106.0,51.0,1556177.0,57.0,46.0,
CMW0783,21.0,35.0,14.0,16.0,26.0,-9.04,-16.67,140.245482978,102.0,14.0,430008.0,0.0,12.0,
RKF0164,40.0,42.0,17.0,18.0,42.0,-12.13,-18.16,268.570678209,148.0,8.0,262652.0,3.0,8.0,
DOL0332,32.0,40.0,41.0,18.0,24.0,-7.73,-26.62,149.03731653,148.0,7.0,203291.0,7.0,7.0,
RSC0089,41.0,26.0,35.0,21.0,29.0,-9.78,-20.87,251.557544375,244.0,170.0,4880165.0,124.0,100.0,
CCM0136,16.0,16.0,39.0,40.0,29.0,-7.85,-18.49,130.396354081,90.0,23.0,730088.0,20.0,23.0,
NCH0179,17.0,12.0,40.0,17.0,25.0,1.67,-9.55,484.727759978,232.0,12.0,364473.0,13.0,12.0,
NBH0256,41.0,43.0,14.0,21.0,22.0,-19.43,-29.12,436.208963715,316.0,152.0,4735483.0,126.0,94.0,
ORG0339,50.0,28.0,46.0,47.0,20.0,-23.39,-40.21,212.694443811,100.0,6.0,173583.0,3.0,5.0,
FRR0832,43.0,40.0,25.0,19.0,30.0,-14.02,-25.04,152.068677505,134.0,22.0,682828.0,28.0,21.0,
MSD0939,24.0,37.0,15.0,42.0,31.0,-19.99,-26.73,424.246038808,268.0,293.0,8889096.0,70.0,154.0,
OQH0183,34.0,38.0,18.0,33.0,23.0,-20.45,-30.1,258.471035561,180.0,9.0,299954.0,6.0,9.0,
BSH0445,38.0,22.0,30.0,15.0,21.0,-8.83,-19.06,242.685377349,174.0,36.0,1051420.0,19.0,30.0,
KSP0357,41.0,40.0,29.0,19.0,24.0,-13.86,-27.84,400.511945743,288.0,198.0,5973837.0,130.0,129.0,
NGO0690,43.0,41.0,41.0,17.0,24.0,-10.76,-29.4,512.718628132,360.0,138.0,4337292.0,79.0,97.0,
VCC0396,21.0,45.0,16.0,37.0,23.0,-19.89,-31.33,298.399808802,212.0,12.0,360570.0,11.0,11.0,
WDD0366,43.0,42.0,17.0,19.0,28.0,-16.82,-25.9,376.100878434,232.0,132.0,3922284.0,123.0,96.0,
KPP0452,44.0,46.0,44.0,16.0,19.0,-11.88,-34.15,67.2659291505,60.0,3.0,75370.0,3.0,3.0,
RTO0313,44.0,45.0,25.0,17.0,27.0,-14.98,-28.08,409.358819482,296.0,148.0,4476840.0,135.0,99.0,
ABM0845,45.0,21.0,35.0,50.0,29.0,-22.65,-31.56,97.37208232,114.0,22.0,717964.0,17.0,20.0,
VIA0063,40.0,34.0,19.0,50.0,33.0,-26.27,-32.23,604.476883103,360.0,115.0,3507328.0,41.0,83.0,
CCW0031,33.0,47.0,30.0,39.0,33.0,-18.77,-33.01,541.229056823,340.0,21.0,619477.0,15.0,21.0,
IYB0918,17.0,21.0,42.0,14.0,30.0,3.22,-10.17,231.91883102,120.0,8.0,244753.0,1.0,8.0,
ORM0669,44.0,39.0,28.0,39.0,36.0,-20.57,-30.59,359.382514183,260.0,254.0,7648245.0,238.0,139.0,
MJB0588,39.0,24.0,15.0,47.0,38.0,-22.88,-23.52,190.490326336,164.0,31.0,847252.0,11.0,28.0,
LIM0674,18.0,13.0,35.0,49.0,20.0,-15.0,-25.11,506.592970362,236.0,223.0,6796350.0,174.0,131.0,
LHN0151,13.0,15.0,19.0,32.0,26.0,-9.07,-13.03,210.493407835,96.0,6.0,168243.0,7.0,6.0,
WTR0563,47.0,45.0,46.0,15.0,31.0,-8.81,-28.65,395.040338157,214.0,27.0,882328.0,0.0,23.0,
MKS0204,21.0,30.0,21.0,16.0,31.0,-5.29,-12.96,449.666577659,272.0,547.0,16340524.0,148.0,201.0,
AAW0353,49.0,45.0,19.0,25.0,34.0,-19.74,-28.6,216.537732032,152.0,10.0,255934.0,0.0,10.0,
WJD0576,40.0,20.0,23.0,38.0,26.0,-19.55,-24.92,104.133196977,120.0,21.0,683200.0,4.0,21.0,
ILH0958,28.0,17.0,20.0,19.0,24.0,-8.53,-13.39,94.0088979923,76.0,15.0,463803.0,13.0,14.0,
