user_id, o, c, e, a, n, cpb-i, cpb-o, dis_ocean, dis_os, email_ratio, cnt_send, cnt_s_size, cnt_s_attach, cnt_s_days
CEL0561,40.0,39.0,36.0,19.0,40.0,-7.81,-20.47,83.4329081224,62.0,22.0,678330.0,24.0,17.0,
JFC0557,22.0,16.0,23.0,40.0,33.0,-12.69,-16.19,191.001586072,134.0,27.0,855886.0,29.0,22.0,
ASD0577,40.0,48.0,36.0,14.0,37.0,-7.82,-23.79,46.5080638169,30.0,1.0,41201.0,0.0,1.0,
MAR0955,36.0,44.0,23.0,44.0,25.0,-25.01,-37.41,0.0,0.0,0.0,0.0,0.0,0.0,
GRM0868,21.0,25.0,20.0,13.0,28.0,-4.17,-10.82,80.476088577,90.0,179.0,5249119.0,0.0,95.0,
AAL0706,37.0,14.0,28.0,13.0,25.0,-5.93,-12.35,71.6186162884,32.0,2.0,85110.0,0.0,2.0,
RVC0232,34.0,20.0,47.0,38.0,25.0,-11.99,-26.77,134.893714036,88.0,5.0,153994.0,1.0,5.0,
TCD0009,44.0,28.0,44.0,38.0,23.0,-17.5,-33.37,218.621902819,120.0,8.0,208997.0,3.0,8.0,
ASM0575,42.0,25.0,21.0,45.0,30.0,-23.5,-28.37,0.0,0.0,0.0,0.0,0.0,0.0,
JLM0364,35.0,22.0,15.0,25.0,37.0,-12.14,-13.09,148.913377058,118.0,57.0,1698963.0,24.0,42.0,
FOB0756,42.0,41.0,34.0,20.0,27.0,-12.78,-28.13,19.1311264697,16.0,1.0,23127.0,2.0,1.0,
GCG0951,33.0,33.0,25.0,19.0,44.0,-6.54,-12.88,0.0,0.0,0.0,0.0,0.0,0.0,
AAV0450,44.0,24.0,36.0,41.0,33.0,-17.75,-27.18,92.8665040313,76.0,5.0,128810.0,6.0,5.0,
CJV0286,18.0,14.0,17.0,13.0,26.0,-2.74,-5.81,48.6374752975,46.0,8.0,241845.0,2.0,8.0,
TDG0962,42.0,40.0,36.0,26.0,21.0,-16.14,-33.21,21.1660104885,24.0,1.0,23037.0,3.0,1.0,
SVL0803,27.0,35.0,20.0,36.0,32.0,-16.5,-24.27,43.3081258209,32.0,2.0,49011.0,0.0,2.0,
MDM0625,18.0,42.0,36.0,27.0,24.0,-8.97,-27.09,374.56603108,276.0,102.0,3074890.0,28.0,61.0,
GMF0738,30.0,40.0,45.0,20.0,18.0,-8.43,-30.24,302.928312465,240.0,223.0,6926520.0,0.0,109.0,
BER0314,23.0,20.0,18.0,19.0,32.0,-6.09,-9.46,117.263754623,80.0,5.0,129069.0,0.0,4.0,
AMR0400,19.0,16.0,47.0,28.0,28.0,-1.83,-15.75,99.2996784625,60.0,3.0,95958.0,0.0,3.0,
YCE0983,39.0,21.0,42.0,30.0,36.0,-8.82,-19.41,54.361266474,40.0,2.0,62903.0,4.0,2.0,
BJW0619,30.0,43.0,47.0,21.0,39.0,-3.8,-22.34,175.265735188,108.0,60.0,1736720.0,27.0,38.0,
TYB0779,24.0,20.0,35.0,36.0,34.0,-8.97,-17.78,26.8700576851,16.0,1.0,34928.0,0.0,1.0,
MAS0025,23.0,14.0,20.0,21.0,23.0,-7.65,-12.11,167.055902357,88.0,5.0,129409.0,0.0,4.0,
KBL0260,16.0,15.0,48.0,16.0,32.0,5.6,-7.88,46.6497167085,60.0,111.0,3291725.0,0.0,74.0,
GHL0460,21.0,37.0,24.0,17.0,35.0,-5.13,-14.93,50.1597091304,46.0,3.0,88711.0,8.0,3.0,
FMG0527,43.0,38.0,35.0,38.0,28.0,-19.85,-34.09,151.599003101,122.0,27.0,836010.0,23.0,22.0,
HCL0651,21.0,19.0,44.0,36.0,33.0,-5.9,-18.14,32.2180073872,30.0,7.0,243340.0,15.0,7.0,
SCP0130,42.0,18.0,35.0,32.0,24.0,-14.73,-24.46,28.3372546306,16.0,1.0,30103.0,2.0,1.0,
