user_id,Pred,Labels,Risk_DF_Value
AJR0932,1,1,0.09476068455699105,
UCH0519,1,-1,0.09468269185394074,
ANM0123,1,-1,0.09459460261518804,
SAP0867,1,-1,0.0945017354348825,
XHW0498,1,1,0.09409867262971017,
CSC0217,1,1,0.09333157803960201,
CQW0652,1,1,0.09288394878681805,
BLS0678,1,1,0.09212791665171727,
LQC0479,1,1,0.09186678884873523,
RKD0604,1,1,0.09114939005890244,
HWY0038,1,-1,0.09100715503580648,
PPF0435,1,1,0.09089564540243633,
SSR0278,1,-1,0.09066193813661316,
BIH0745,1,1,0.08972107974676513,
HJS0072,1,-1,0.0884129091493473,
BDV0168,1,1,0.08658327467664173,
RAB0589,1,1,0.08566860437626778,
FTM0406,1,1,0.08536634719599556,
JMB0308,1,1,0.08505558835490756,
LUR0896,1,-1,0.08472694903787525,
FSC0601,1,1,0.08323892615396944,
TNM0961,1,1,0.08248781515411485,
ALB0892,1,-1,0.08140317999645741,
FMG0527,1,1,0.08094569602709578,
SOB0360,1,-1,0.08047112423545766,
IAT0263,1,-1,0.07983336172276467,
QCH0110,1,-1,0.07982295835789399,
SNC0187,1,-1,0.07785164475809414,
OLB0749,1,-1,0.07567970842556426,
BMS0877,1,-1,0.07287766300824905,
MTT0901,1,-1,0.07037231943520661,
FSB0399,1,-1,0.06927812282036228,
HFB0347,1,-1,0.06920015239635169,
JGT0221,1,1,0.066714920904549,
JRG0207,1,1,0.063578987646834,
KLH0596,1,1,0.06337975095828363,
JTM0223,1,1,0.06332748593855753,
YWW0660,1,-1,0.06240300738891413,
FFC0891,1,-1,0.06137580910405305,
AHG0634,1,-1,0.06085940508289944,
MDH0580,1,1,0.05908413606132079,
IUB0565,1,1,0.0570892676004946,
HJB0742,1,1,0.055207452382517896,
RMW0542,1,1,0.050314798143217265,
ESR0693,1,-1,0.04800126888145706,
NRO0768,1,-1,0.04364312916247326,
LJR0523,1,1,0.04288900278242114,
SLT0907,1,-1,0.040300261545252125,
MBG0438,1,-1,0.04006452404983407,
COF0120,1,-1,0.038900686939560725,
DCH0843,1,1,0.03881191212646273,
AAM0658,1,1,0.038072083372786114,
TAP0551,1,1,0.03591214900908701,
DIB0285,1,1,0.03516355322760378,
IKR0401,1,1,0.03355566385916031,
AOK0844,1,-1,0.033319555529824685,
ICS0956,1,-1,0.03276245508862208,
TEM0093,1,-1,0.0327140975270126,
WAB0143,1,-1,0.03222704652749875,
MCF0600,1,1,0.0317139191972271,
MAR0955,1,1,0.030915211176753665,
NWT0098,1,1,0.030694722078985714,
GOK0238,1,-1,0.029839010865439608,
BBS0039,1,1,0.02934427372921755,
EHD0584,1,1,0.02891316739351435,
BTL0226,1,1,0.027502093484042867,
LCC0819,1,1,0.025958004423653147,
HBO0413,1,1,0.02571494412923503,
MYD0978,1,1,0.024992607239174625,
EAH0466,1,-1,0.023681635157869696,
ASB0796,1,-1,0.021790638125684936,
BVN0514,1,-1,0.02177133230782724,
KRL0501,1,1,0.020163251826019524,
LHB0606,1,-1,0.015879471989738603,
RGG0064,1,1,0.014534809586140396,
ECF0828,1,-1,0.012024498507123615,
BYP0070,1,-1,0.011888497423347077,
PSF0133,1,1,0.0108835291639926,
SEJ0677,1,-1,0.009703444165432229,
CIM0926,1,-1,0.007722007917510654,
ARB0834,1,-1,0.007464377035710568,
LDD0560,1,-1,0.007370212101651008,
MAS0025,1,1,0.007351437805237948,
GBM0603,1,-1,0.007130072061647619,
MOS0047,1,1,0.006378347654523164,
MMB0488,1,-1,0.005999507020684858,
KSP0357,1,-1,0.0058625330340496,
EGD0132,1,1,0.005773981116037552,
CCL0068,1,1,0.005441188316751111,
RGH0728,1,-1,0.004345890487148507,
MHH0180,1,-1,0.004330873050134132,
NRD0548,1,-1,0.00409248795083772,
CYA0506,1,-1,0.00398738314541025,
HXL0968,1,1,0.003915131472139732,
EDB0714,1,1,0.0037509042939491977,
MCD0125,1,-1,0.0033692459828864596,
CRD0624,1,-1,0.0032973940106790778,
MSO0222,1,1,0.0030335591728858358,
RRC0553,1,-1,0.0027830015110834605,
HMM0108,1,-1,0.002704334413069276,
CAH0936,1,1,0.002605056256727245,
CEJ0109,1,1,0.0025349355611707924,
HKB0418,1,-1,0.0024153486478575292,
AAF0535,1,1,0.0023949166473682393,
KNG0672,1,-1,0.0023850532827423,
JJM0203,1,1,0.0014294027430192813,
KPC0073,1,1,0.0011301017832419102,
PGH0184,1,-1,0.0004928969437270059,
MSH0040,1,-1,0.00019162942025552354,
DGN0480,-1,-1,-0.0006362001198250145,
BRS0734,-1,-1,-0.0007095686940055135,
QOS0878,-1,-1,-0.0007314045382833534,
DIB0081,-1,-1,-0.0007529301465358795,
LOM0086,-1,-1,-0.0010010653371659295,
CAC0889,-1,-1,-0.001558385138758167,
GTD0219,-1,1,-0.0016244123732611637,
DPS0262,-1,-1,-0.004609168115545792,
