user_id,Pred,Labels,Risk_DF_Value
FFC0891,1,-1,0.004089507907558465,
MCF0600,1,1,0.0034888213058773127,
EHD0584,1,1,0.0033568139978317757,
ECF0828,1,-1,0.0023505426542884816,
SSR0278,1,-1,0.0022779631712314813,
BLS0678,1,1,0.002031016200562133,
ARB0834,1,-1,0.0020238387581075767,
MAS0025,1,1,0.0020154798613486735,
HXL0968,1,1,0.0017551965027948618,
JJM0203,1,1,0.0015599237026541063,
BSS0369,1,1,0.0015291796390440593,
AJR0932,1,1,0.0013796964402998102,
XHW0498,1,1,0.0007043490299290939,
RAB0589,1,1,0.0006364342604762152,
LQC0479,1,1,0.0005900973554681943,
CCA0046,-1,1,-0.08114860285319404,
