user_id,CPB-I,CPB-O,JS_Score,Team_CPB-I-mean,Team_CPB-O-mean,Users-less-mean-A,Users-less-mean-A and C,Users-less-mean-C,Users-High-mean-N,Team_CPB-I-median,Team_CPB-O-median,leader-CPB-I,leader-CPB-O,dis_ocean,avg_dis_ocean,dis_os,avg_dis_os,email_ratio,cnt_send,cnt_recv,cnt_s_size,cnt_r_size,cnt_s_attach,cnt_r_attach, cnt_s_days,cnt_r_days,cnt_email_days,cnt_late_days,cnt_early_days,month_work_days,
MMK1532,-6.56,-9.51,6.76,-13.761999999999999,-24.254666666666665,16,7,12,16,-14.555000000000001,-25.135,-4.79,-10.23,12.3121009712,0.286327929563,0.245534276386,0.00571009945084,-0.627906976744,0.186046511628,0.860465116279,5859.51162791,208139.372093,0.0,0.186046511628,0.186046511628,0.813953488372,0.953488372093,169.0,161.0,356.0,
NTB0710,-16.14,-30.77,16.37,-12.001333333333331,-22.55666666666667,10,4,6,7,-10.41,-23.520000000000003,-23.5,-32.0,10.0134870909,0.303439002754,0.341355100343,0.0103440939498,-0.320512820513,1.84848484848,4.72727272727,41279.9030044,533815.404031,0.393939393939,1.66666666667,1.60606060606,3.12121212121,3.93939393939,156.0,140.0,356.0,
NHB1529,-26.62,-36.54,21.57,-13.093333333333332,-23.353666666666662,17,8,13,16,-14.165,-24.349999999999998,-4.79,-10.23,9.09782064632,0.293478085365,0.254693593253,0.00821592236301,-0.515151515152,0.258064516129,0.806451612903,7021.77419355,164876.709677,0.0,0.290322580645,0.258064516129,0.806451612903,1.06451612903,143.0,149.0,356.0,
HBW0057,-16.99,-32.84,20.47,0,0,0,0,0,0,0,0,-12.26,-16.2,13.2053177459,0.293451505464,0.254693593253,0.00565985762785,-0.261707988981,5.02222222222,12.7555555556,428930.066327,136300.475979,3.46666666667,11.5777777778,2.97777777778,5.08888888889,5.91111111111,5.0,9.0,343.0,
PLM1716,-13.69,-13.57,9.96,-9.932666666666668,-20.486333333333334,21,9,15,18,-9.704999999999998,-21.28,-3.01,-13.91,14.2462567789,0.284925135578,0.241624510319,0.00483249020638,0.0530973451327,9.8,7.76,524307.668564,171680.892425,4.8,2.68,4.76,4.28,6.14,0.0,0.0,356.0,
UKG0386,-22.62,-39.67,23.33,-13.697666666666667,-24.244666666666667,14,6,12,14,-16.740000000000002,-27.54,-26.1,-36.46,10.5720162178,0.285730168048,0.341355100343,0.00922581352279,-0.358024691358,0.756756756757,1.67567567568,76446.5376741,398620.893919,0.162162162162,0.756756756757,0.702702702703,1.48648648649,2.16216216216,146.0,164.0,356.0,
GLC1055,-2.53,-23.01,13.56,-11.491666666666665,-23.125,16,6,13,17,-9.764999999999999,-23.42,-8.8,-21.42,8.76109411931,0.282615939333,0.28190721718,0.00909378119935,-0.272727272727,1.06451612903,1.8064516129,150672.79278,306739.766308,0.774193548387,1.03225806452,1.03225806452,1.8064516129,2.67741935484,89.0,88.0,356.0,
UCD0608,-9.67,-19.7,11.12,-13.425,-22.509,11,7,9,13,-14.594999999999999,-24.235,-13.01,-22.46,6.01680354341,0.273491070155,0.341355100343,0.0155161409247,-0.925925925926,0.0454545454545,1.18181818182,1611.13636364,247383.795455,0.0,0.318181818182,0.0454545454545,1.18181818182,1.22727272727,110.0,127.0,356.0,
CBN1983,-20.32,-36.49,19.83,-13.06642857142857,-21.255714285714284,7,4,10,6,-14.214999999999998,-20.494999999999997,-11.22,-11.26,16.2399587923,0.295271978042,0.28190721718,0.0051255857669,0.185185185185,0.690909090909,0.4,88865.9272727,145200.518182,0.0727272727273,0.163636363636,0.581818181818,0.4,0.927272727273,0.0,0.0,435.0,
ECD1434,-7.15,-22.53,11.73,-14.25833333333333,-24.564,14,7,14,17,-15.114999999999998,-27.25,-2.25,-10.95,12.3954238262,0.302327410395,0.266338042847,0.00649604982553,-0.147208121827,2.19512195122,3.07317073171,23037.9818225,130253.146902,0.487804878049,1.43902439024,2.0487804878,2.75609756098,4.17073170732,145.0,159.0,356.0,
WTC0699,-8.76,-20.85,15.54,-15.508,-24.453333333333333,7,5,9,6,-16.2,-23.98,-16.01,-18.97,15.9455314087,0.270263244215,0.266338042847,0.00451420411604,0.382352941176,0.813559322034,0.35593220339,163469.186441,142357.152542,0.152542372881,0.135593220339,0.796610169492,0.35593220339,1.1186440678,0.0,0.0,443.0,
TRB1093,-21.74,-33.11,18.77,-12.110000000000001,-22.205,17,7,11,17,-13.23,-23.48,-17.43,-20.13,11.1078674235,0.31736764067,0.254693593253,0.00727695980724,-0.24358974359,1.88571428571,3.48571428571,221222.870522,311440.944829,1.45714285714,2.14285714286,1.68571428571,2.77142857143,3.94285714286,137.0,135.0,356.0,
ASB0658,-9.06,-19.42,12.2,-13.274333333333331,-24.734666666666666,17,7,10,11,-14.15,-26.085,-12.86,-16.39,12.5067616047,0.297780038206,0.341355100343,0.00812750238912,-0.2,2.2619047619,3.78571428571,8513.6203526,147732.244519,0.0,1.78571428571,1.95238095238,2.92857142857,4.2380952381,0.0,0.0,356.0,
DAC1641,-22.64,-33.86,20.84,-13.076666666666668,-22.715666666666667,18,12,16,20,-10.505000000000003,-21.345,-21.45,-25.13,9.31980491144,0.300638868111,0.266338042847,0.00859154976925,-0.102040816327,2.48387096774,3.03225806452,401797.640131,100823.154692,2.22580645161,0.225806451613,2.12903225806,2.61290322581,4.1935483871,114.0,123.0,356.0,
SNC1721,-16.08,-21.28,10.28,-9.852999999999998,-20.229333333333336,20,9,16,19,-9.234999999999998,-20.275,-3.01,-13.91,17.9816594873,0.285423166465,0.241624510319,0.00383530968761,0.046218487395,7.38095238095,7.14285714286,23006.8843901,163946.799802,0.0,2.03174603175,3.95238095238,3.60317460317,5.07936507937,7.0,4.0,356.0,
DNW0899,-21.61,-20.07,12.96,-13.032000000000004,-22.549999999999997,11,4,7,13,-14.569999999999999,-24.275,-9.75,-20.62,16.8160435247,0.280267392078,0.341355100343,0.00568925167239,-0.152073732719,5.63333333333,15.0666666667,266614.13742,113615.164789,2.91666666667,8.96666666667,3.06666666667,4.16666666667,5.18333333333,356.0,163.0,356.0,
NRO1752,-19.63,-20.86,14.19,-12.052000000000003,-22.78066666666667,18,5,8,18,-12.665000000000003,-23.085,-4.18,-16.16,9.95668475071,0.284476707163,0.28190721718,0.00805449191942,-0.28813559322,1.25714285714,3.0,317010.532653,339713.052182,1.45714285714,1.6,1.2,2.17142857143,3.05714285714,0.0,1.0,356.0,
TMT1509,-14.57,-24.21,13.47,-15.161999999999999,-25.676333333333332,15,6,9,16,-15.915000000000001,-26.380000000000003,-12.4,-20.7,21.0376701901,0.309377502795,0.254693593253,0.00374549401843,0.0403397027601,5.22058823529,5.75,22463.7226535,230261.699342,0.0,1.85294117647,3.60294117647,3.32352941176,5.10294117647,108.0,128.0,356.0,
SNC0218,-8.0,-12.45,6.66,0,0,0,0,0,0,0,0,-3.04,-18.14,15.3045462255,0.294318196644,0.341355100343,0.00656452116045,0.191256830601,9.61538461538,4.96153846154,20815.3778427,149848.155993,0.0,3.69230769231,4.19230769231,2.84615384615,5.82692307692,175.0,162.0,356.0,
MAS0783,-0.5,-4.71,3.57,-15.023999999999997,-25.755000000000003,4,2,4,3,-18.805,-29.179999999999996,-14.17,-32.49,11.4519048575,0.286297621438,0.254693593253,0.00636733983133,-0.0439770554493,12.65,14.575,461790.455704,146604.953676,9.05,10.2,6.25,6.825,8.4,0.0,0.0,356.0,
ACB1485,-14.38,-19.33,13.65,-12.241000000000003,-23.01533333333333,17,6,12,13,-12.675,-24.91,6.46,-7.49,8.37400648574,0.288758844336,0.28190721718,0.00972093852344,-0.390243902439,1.0,2.10344827586,276182.850794,367042.992088,1.48275862069,1.41379310345,0.862068965517,1.96551724138,2.72413793103,171.0,164.0,356.0,
