user_id,Pred,Labels,Risk_DF_Value
AJR0932,1,1,0.020128417350648575,
UCH0519,1,-1,0.020127384340869026,
JSH0330,1,-1,0.020124946818028233,
SAP0867,1,-1,0.020121032804125527,
IBP0883,1,-1,0.02011313368997447,
HTF0641,1,-1,0.020084155897180656,
HWM0342,1,-1,0.02004801693947772,
KMS0657,1,-1,0.02004353914973428,
CSC0217,1,1,0.02001940356020321,
KDT0346,1,-1,0.01999839497550676,
TVS0006,1,-1,0.019987789272566114,
JCV0245,1,-1,0.01992254066360921,
BLS0678,1,1,0.019870762777215334,
IIW0249,1,-1,0.019811280681955812,
FRL0511,1,-1,0.019794170802803268,
RKD0604,1,1,0.019735185354310847,
HWY0038,1,-1,0.019714728619036892,
ANM0123,1,-1,0.01968644565855765,
DFH0188,1,-1,0.01966657443720682,
SSR0278,1,-1,0.01966442525385037,
DKB0631,1,-1,0.019662531517135873,
MJM0510,1,-1,0.01953723648844463,
BIH0745,1,1,0.019523308662891703,
XHW0498,1,1,0.01950446246421761,
TTD1000,1,-1,0.019208923275713607,
MJS0890,1,-1,0.019107101804285154,
BDV0168,1,1,0.01902366461247551,
BAM0636,1,-1,0.018959055282022186,
FTM0406,1,1,0.018821760561782364,
LQC0479,1,1,0.018807234370561032,
JMB0308,1,1,0.01876966129321378,
LUR0896,1,-1,0.018714347641139162,
PPF0435,1,1,0.018528037043021695,
ILJ0526,1,-1,0.01849549047162652,
SAB0781,1,-1,0.018353876609614628,
ALB0892,1,-1,0.018144453961309703,
FMG0527,1,1,0.01806476183634831,
IAT0263,1,-1,0.017869955190594033,
QCH0110,1,-1,0.01786812662586651,
HJS0072,1,-1,0.017842701193867994,
ASS0517,1,-1,0.01780156367854302,
SNC0187,1,-1,0.017519645624905378,
GCS0571,1,-1,0.017463839913977153,
RAG0275,1,-1,0.017141215860238312,
DIW0118,1,-1,0.01713230667611082,
OLB0749,1,-1,0.01713165848819337,
RAB0589,1,1,0.017112608553827013,
CJM0521,1,-1,0.017047201278481805,
LRR0148,1,-1,0.01702861114831905,
BMS0877,1,-1,0.016625958430724508,
FSC0601,1,1,0.016480436264297904,
TNM0961,1,1,0.0162869503135179,
MTT0901,1,-1,0.01616972935638361,
LJB0826,1,-1,0.016044154374248054,
HFB0347,1,-1,0.015955136225545008,
SOB0360,1,-1,0.015771023738909373,
JHP0583,1,-1,0.01544252596761253,
BHC0665,1,-1,0.015305236547869638,
JRG0207,1,1,0.014917669261964195,
EHR0096,1,-1,0.014881952175070157,
CIM0271,1,-1,0.014735416338347629,
YWW0660,1,-1,0.014699111424464506,
FFC0891,1,-1,0.014507831281759198,
EBC0390,1,-1,0.01436673227955454,
CFG0959,1,-1,0.014201296479492309,
MDH0580,1,1,0.014079916840007756,
NMG0766,1,-1,0.014074080504613562,
YEV0793,1,-1,0.013972518644899179,
KDS0349,1,-1,0.013874405662413658,
DDM0579,1,-1,0.013787486435080043,
IUB0565,1,1,0.013706210154416032,
PTH0830,1,-1,0.013387268721991918,
FDE0117,1,-1,0.013274727055610946,
IBS0836,1,-1,0.01312532114624837,
BNR0965,1,-1,0.01310819017936804,
FSB0399,1,-1,0.01296618167536917,
BTL0226,1,1,0.01294857102676611,
MJB0588,1,-1,0.012927390644870307,
FQA0854,1,-1,0.012833138244494613,
JRF0835,1,-1,0.012775837524807654,
AJD0074,1,-1,0.012753126938746084,
HDD0789,1,-1,0.012622290829176042,
NMS0280,1,-1,0.0124601185799591,
RMW0542,1,1,0.0124298922909441,
WJD0576,1,-1,0.01235153832352942,
JGT0221,1,1,0.012332265603150872,
ESR0693,1,-1,0.011991805707007364,
TCD0009,1,-1,0.011532887486263854,
KLH0596,1,1,0.011510167784177738,
JTM0223,1,1,0.011497305479893472,
ASG0048,1,-1,0.011177439346798823,
JDC0030,1,-1,0.011171839057181943,
CHM0821,1,-1,0.011104643856974683,
LJR0523,1,1,0.011020381631234255,
AHG0634,1,-1,0.010890527321953836,
SLT0907,1,-1,0.010526886298622862,
MBG0438,1,-1,0.010481898594934702,
TJD0996,1,-1,0.010277905075471161,
CAB0388,1,-1,0.010274268100142703,
DCH0843,1,1,0.010242721491707074,
RDM0115,1,-1,0.010166587071710365,
AAM0658,1,1,0.010101355267792766,
DIB0285,1,1,0.009544898384205969,
HJB0742,1,1,0.009504523227496842,
VTT0385,1,-1,0.00924803522215989,
IKR0401,1,1,0.00923682528221964,
AOK0844,1,-1,0.009191560687839273,
ICS0956,1,-1,0.0090847324905447,
WAB0143,1,-1,0.008982030067436475,
DTP0379,1,-1,0.008915848157509454,
MCF0600,1,1,0.008883570986395084,
MAR0955,1,1,0.008730255818011845,
FGW0853,1,-1,0.00866084606107037,
EHD0584,1,1,0.008345650020270323,
RYB0718,1,-1,0.008308741143034037,
LHN0151,1,-1,0.008284064820225034,
VFM0814,1,-1,0.008250147758560589,
TAC0300,1,-1,0.00792654943883514,
GNS0178,1,-1,0.007846327001049647,
LCC0819,1,1,0.007777183117166353,
GJD0298,1,-1,0.007690624390847001,
PMJ0564,1,-1,0.0076200992269069845,
MYD0978,1,1,0.007591288336871782,
JJH0292,1,-1,0.007511010995733314,
EAH0466,1,-1,0.007338708954553241,
HDJ0446,1,-1,0.007233547927115003,
GKO0078,1,-1,0.007167664712611488,
KKW0879,1,-1,0.00705093918244698,
ASB0796,1,-1,0.006974100873774536,
BVN0514,1,-1,0.0069703768185131465,
MNC0717,1,-1,0.006815384086042819,
SBN0866,1,-1,0.006368494860744478,
BRS0734,1,-1,0.006143338360319162,
NUL0471,1,-1,0.006070466643034345,
BHW0458,1,-1,0.006063052025187254,
BCB0679,1,-1,0.0059739406051371735,
LHB0606,1,-1,0.005832378316942666,
RGG0064,1,1,0.005572270566138404,
COF0120,1,-1,0.005516877640607543,
BSA0431,1,-1,0.005140289371432516,
ESH0135,1,-1,0.005097851333095482,
ECF0828,1,-1,0.005086321773176361,
PKB0429,1,-1,0.005016126565000001,
HKI0171,1,-1,0.004970501419890028,
PSF0133,1,1,0.004865301438482017,
