user_id,Pred,Labels,Risk_DF_Value
LJR0523,1,1,0.04331129143648571,
ESR0693,1,-1,0.04219248904151296,
RMW0542,1,1,0.04138752073215013,
LCC0819,1,1,0.040725987975141154,
DIB0081,1,-1,0.01908458011537051,
JMB0308,1,1,0.008479755853133208,
BDV0168,1,1,0.006392858416714775,
PNL0301,1,1,0.005589323810737845,
AHG0634,1,-1,0.004295695752819295,
EHB0824,1,1,0.0027216024472170863,
KPC0073,1,1,0.001353906738677968,
AAF0535,1,1,0.0005741814841150328,
RKD0604,1,1,0.0002658125174023196,
BBS0039,1,1,0.00015378882052707876,
