user_id,Pred,Labels,Risk_DF_Value
TAP0551,1,1,0.09024134197448896,
NRD0548,1,-1,0.08801686725191482,
ANP0555,1,-1,0.07777725013417602,
IUB0565,1,1,0.07717155824218236,
KMW0545,1,-1,0.07492427887782083,
BTL0226,1,1,0.07337498683820609,
VFM0814,1,-1,0.07086364544594503,
HIA0414,1,-1,0.07068257012454504,
JCR0921,1,-1,0.07067066629154484,
AMD0077,1,-1,0.07061719948130607,
UCS0227,1,-1,0.07013753641133835,
IAT0263,1,-1,0.06987266048151208,
JMH0543,1,-1,0.06794062149122726,
FLM0213,1,-1,0.06783593449675562,
EGD0409,1,-1,0.0665245169799098,
AKR0057,1,1,0.06628680956657007,
TEM0093,1,-1,0.06587220925509318,
SJO0209,1,-1,0.06575672466183957,
HTF0641,1,-1,0.06574021571727084,
DKB0631,1,-1,0.06567830070645053,
HBO0413,1,1,0.06553423257931379,
PPF0435,1,1,0.06543135642954234,
ESR0693,1,-1,0.06515295002788801,
KDT0346,1,-1,0.06434063955755964,
GNS0178,1,-1,0.06272975575103601,
PKB0429,1,-1,0.06234937647358074,
HJB0742,1,1,0.0622484640867218,
KRV0372,1,-1,0.06223435139883704,
FSB0399,1,-1,0.062070308982113964,
BSA0431,1,-1,0.06187151171411598,
KSP0357,1,-1,0.06178217279795972,
HSG0818,1,-1,0.061339198380983895,
PMJ0564,1,-1,0.060448026880889794,
NMS0280,1,-1,0.06029133366504835,
HKB0418,1,-1,0.059948737759048853,
LBF0214,1,-1,0.05878750317777315,
FHO0630,1,-1,0.05789914859469025,
AAF0535,1,1,0.056898351993013296,
CEJ0109,1,1,0.05671431714950326,
JRG0207,1,1,0.056567505606137214,
ASS0206,1,-1,0.05631023483209341,
NWK0215,1,-1,0.05628644665035165,
IKR0401,1,1,0.05606934610221015,
MLD0755,1,-1,0.05562162192432263,
CAB0388,1,-1,0.05470200675750414,
QCH0110,1,-1,0.05448410271707971,
RAW0915,1,-1,0.05440970861104555,
KMS0657,1,-1,0.05396162254401782,
IRM0931,1,-1,0.05391586275454108,
MHH0180,1,-1,0.05339876185759329,
RRC0553,1,-1,0.05333305771535435,
GBM0603,1,-1,0.053068023482092386,
DTP0379,1,-1,0.05296756134595171,
ASS0517,1,-1,0.05289972965460099,
KKW0879,1,-1,0.05246477901293112,
JLM0364,1,1,0.05233890655542295,
MBG0438,1,-1,0.05230953091725277,
DFH0188,1,-1,0.05227871900743364,
MJM0510,1,-1,0.0522253787376028,
FQA0854,1,-1,0.052002725748164336,
MSO0222,1,1,0.051570300565434435,
SNC0187,1,-1,0.05153751101801718,
FRL0511,1,-1,0.05142134498274764,
HFB0347,1,-1,0.05134980849403514,
ATP0662,1,-1,0.05119913597888193,
MPM0220,1,1,0.05090910655781222,
HDD0789,1,-1,0.05058505365034227,
HWM0342,1,-1,0.05047178203436964,
BSS0369,1,1,0.05027591489291061,
EBC0390,1,-1,0.05026728710339157,
JBM0350,1,-1,0.050115842738382765,
IBP0883,1,-1,0.049966144672141555,
VSA0230,1,-1,0.04990177835440135,
VTT0385,1,-1,0.049845371857723864,
GQP0743,1,-1,0.04911284720331466,
EHR0096,1,-1,0.04826764857609911,
XWD0923,1,-1,0.047971325780722385,
RAG0275,1,-1,0.0479190032522856,
FMG0527,1,1,0.04784942137818016,
MOS0047,1,1,0.0477214268916224,
HDD0806,1,-1,0.04757440876830077,
KNG0672,1,-1,0.04752838985199559,
YWW0660,1,-1,0.04750164058421125,
YEV0793,1,-1,0.04717852427952485,
CIM0926,1,-1,0.047167083814537714,
SBN0866,1,-1,0.047118815966719074,
KRL0501,1,1,0.04711854759265832,
GOK0238,1,-1,0.04652490344838878,
MSH0040,1,-1,0.04636422073936508,
KPC0073,1,1,0.046099970217620134,
SOB0360,1,-1,0.046068368098605816,
UCH0519,1,-1,0.04580729398047945,
GTD0219,1,1,0.04569609041291667,
DGN0480,1,-1,0.04568071675887486,
SPA0141,1,-1,0.045469530528890356,
RGH0728,1,-1,0.044989135218519216,
FSC0601,1,1,0.04464618013512389,
LOM0086,1,-1,0.044486994509472355,
GKO0078,1,-1,0.04400629380219878,
CQW0652,1,1,0.04396141649359975,
KDS0349,1,-1,0.04394020017138156,
MMB0488,1,-1,0.04346332349172921,
