user_id,Pred,Labels,Risk_DF_Value
FTM0406,1,1,0.017074025595699593,
IUB0565,1,1,0.013378514457753898,
MSO0222,1,1,0.012055976339125585,
MBG0438,1,-1,0.00997119042054273,
TNM0961,1,1,0.00945613077399543,
ICS0956,1,-1,0.008365825437275043,
MYD0978,1,1,0.006584263692263392,
HJB0742,1,1,0.004894137246308938,
TEM0093,1,-1,0.003179681127983891,
GOK0238,1,-1,0.0030384645417216305,
BYP0070,1,-1,0.0022978182262033964,
ABC0174,1,1,0.0020001911207203626,
KSP0357,1,-1,0.0018676581519888602,
EDB0714,1,1,0.0014098135410285928,
XWD0923,-1,-1,-0.0006894869031973117,
MHH0180,-1,-1,-0.0013045508981419096,
VFM0814,-1,-1,-0.03467431759905465,
