user_id, o, c, e, a, n, cpb-i, cpb-o, dis_ocean, dis_os, email_ratio, cnt_send, cnt_s_size, cnt_s_attach, cnt_s_days
CEL0561,40.0,39.0,36.0,19.0,40.0,-7.81,-20.47,667.258462159,496.0,171.0,5159881.0,99.0,131.0,
JFC0557,22.0,16.0,23.0,40.0,33.0,-12.69,-16.19,906.881537081,592.0,246.0,7548335.0,240.0,158.0,
ASD0577,40.0,48.0,36.0,14.0,37.0,-7.82,-23.79,338.985579333,264.0,33.0,905467.0,0.0,32.0,
GRM0868,21.0,25.0,20.0,13.0,28.0,-4.17,-10.82,1202.47849403,834.0,226.0,6664121.0,0.0,134.0,
AAL0706,37.0,14.0,28.0,13.0,25.0,-5.93,-12.35,140.369190981,108.0,17.0,561035.0,8.0,17.0,
RVC0232,34.0,20.0,47.0,38.0,25.0,-11.99,-26.77,963.79182018,644.0,629.0,18554849.0,367.0,261.0,
TCD0009,44.0,28.0,44.0,38.0,23.0,-17.5,-33.37,962.781155092,578.0,39.0,1086123.0,22.0,39.0,
ASM0575,42.0,25.0,21.0,45.0,30.0,-23.5,-28.37,179.336328668,166.0,50.0,1432329.0,57.0,46.0,
JLM0364,35.0,22.0,15.0,25.0,37.0,-12.14,-13.09,1283.8615972,842.0,740.0,21961745.0,221.0,290.0,
FOB0756,42.0,41.0,34.0,20.0,27.0,-12.78,-28.13,355.796538183,276.0,68.0,2053250.0,69.0,66.0,
GCG0951,33.0,33.0,25.0,19.0,44.0,-6.54,-12.88,321.772058887,246.0,63.0,1850478.0,40.0,56.0,
AAV0450,44.0,24.0,36.0,41.0,33.0,-17.75,-27.18,217.645112214,166.0,19.0,530538.0,17.0,18.0,
CJV0286,18.0,14.0,17.0,13.0,26.0,-2.74,-5.81,547.982900655,350.0,198.0,6396780.0,189.0,140.0,
TDG0962,42.0,40.0,36.0,26.0,21.0,-16.14,-33.21,229.210256534,242.0,48.0,1525108.0,49.0,45.0,
SVL0803,27.0,35.0,20.0,36.0,32.0,-16.5,-24.27,834.590362257,626.0,182.0,5506930.0,66.0,146.0,
MDM0625,18.0,42.0,36.0,27.0,24.0,-8.97,-27.09,1811.59406028,1254.0,667.0,20175261.0,233.0,301.0,
GMF0738,30.0,40.0,45.0,20.0,18.0,-8.43,-30.24,1295.51880331,892.0,570.0,17561800.0,0.0,236.0,
BER0314,23.0,20.0,18.0,19.0,32.0,-6.09,-9.46,1356.92423587,866.0,307.0,9253665.0,59.0,179.0,
AMR0400,19.0,16.0,47.0,28.0,28.0,-1.83,-15.75,1096.70150773,664.0,441.0,13152023.0,0.0,247.0,
YCE0983,39.0,21.0,42.0,30.0,36.0,-8.82,-19.41,691.833711203,460.0,256.0,7909466.0,317.0,163.0,
BJW0619,30.0,43.0,47.0,21.0,39.0,-3.8,-22.34,1559.25020935,978.0,567.0,17309303.0,176.0,285.0,
TYB0779,24.0,20.0,35.0,36.0,34.0,-8.97,-17.78,491.453904963,384.0,76.0,2305980.0,107.0,73.0,
KBL0260,16.0,15.0,48.0,16.0,32.0,5.6,-7.88,876.8139001,504.0,138.0,4114159.0,0.0,100.0,
HCL0651,21.0,19.0,44.0,36.0,33.0,-5.9,-18.14,555.049638057,402.0,104.0,3160152.0,116.0,92.0,
SCP0130,42.0,18.0,35.0,32.0,24.0,-14.73,-24.46,292.594860762,214.0,57.0,1720584.0,69.0,52.0,
CMW0783,21.0,35.0,14.0,16.0,26.0,-9.04,-16.67,410.696634843,288.0,62.0,1832213.0,0.0,59.0,
RKF0164,40.0,42.0,17.0,18.0,42.0,-12.13,-18.16,848.303690232,514.0,2047.0,61354245.0,1371.0,345.0,
DOL0332,32.0,40.0,41.0,18.0,24.0,-7.73,-26.62,454.068911251,408.0,121.0,3720332.0,117.0,102.0,
RSC0089,41.0,26.0,35.0,21.0,29.0,-9.78,-20.87,673.275586389,528.0,188.0,5424852.0,130.0,117.0,
CCM0136,16.0,16.0,39.0,40.0,29.0,-7.85,-18.49,186.677927976,134.0,25.0,785187.0,21.0,25.0,
NCH0179,17.0,12.0,40.0,17.0,25.0,1.67,-9.55,1397.26194746,816.0,333.0,10106450.0,307.0,207.0,
NBH0256,41.0,43.0,14.0,21.0,22.0,-19.43,-29.12,856.997021115,640.0,173.0,5411374.0,148.0,113.0,
