user_id, o, c, e, a, n, cpb-i, cpb-o, dis_ocean, avg_dis_ocean, dis_os, avg_dis_os,cnt_send, cnt_s_size, cnt_s_attach, cnt_s_days
CEL0561,40.0,39.0,36.0,19.0,40.0,-7.81,-20.47,7.60160443403,0.304064177361,0.341355100343,0.0136542040137,171.0,5159881.0,99.0,131.0,
JFC0557,22.0,16.0,23.0,40.0,33.0,-12.69,-16.19,8.31424878398,0.28669823393,0.291982910479,0.0100683762234,246.0,7548335.0,240.0,158.0,
ASD0577,40.0,48.0,36.0,14.0,37.0,-7.82,-23.79,2.81940003236,0.281940003236,0.341355100343,0.0341355100343,33.0,905467.0,0.0,32.0,
GRM0868,21.0,25.0,20.0,13.0,28.0,-4.17,-10.82,12.8250266213,0.298256433053,0.341355100343,0.00793849070565,226.0,6664121.0,0.0,134.0,
AAL0706,37.0,14.0,28.0,13.0,25.0,-5.93,-12.35,1.47271565176,0.294543130351,0.286702672782,0.0573405345564,17.0,561035.0,8.0,17.0,
RVC0232,34.0,20.0,47.0,38.0,25.0,-11.99,-26.77,8.9230684539,0.287840917868,0.30438175398,0.00981876625743,629.0,18554849.0,367.0,261.0,
TCD0009,44.0,28.0,44.0,38.0,23.0,-17.5,-33.37,9.737003478,0.295060711455,0.341355100343,0.0103440939498,39.0,1086123.0,22.0,39.0,
ASM0575,42.0,25.0,21.0,45.0,30.0,-23.5,-28.37,1.76012508785,0.293354181308,0.286702672782,0.047783778797,50.0,1432329.0,57.0,46.0,
JLM0364,35.0,22.0,15.0,25.0,37.0,-12.14,-13.09,12.8512746348,0.292074423518,0.341355100343,0.00775807046234,740.0,21961745.0,221.0,290.0,
FOB0756,42.0,41.0,34.0,20.0,27.0,-12.78,-28.13,4.24975455495,0.303553896782,0.30438175398,0.0217415538557,68.0,2053250.0,69.0,66.0,
GCG0951,33.0,33.0,25.0,19.0,44.0,-6.54,-12.88,3.19161491815,0.290146810741,0.341355100343,0.0310322818494,63.0,1850478.0,40.0,56.0,
AAV0450,44.0,24.0,36.0,41.0,33.0,-17.75,-27.18,2.02389919588,0.289128456555,0.341355100343,0.0487650143347,19.0,530538.0,17.0,18.0,
CJV0286,18.0,14.0,17.0,13.0,26.0,-2.74,-5.81,4.25080839954,0.283387226636,0.291982910479,0.0194655273653,198.0,6396780.0,189.0,140.0,
TDG0962,42.0,40.0,36.0,26.0,21.0,-16.14,-33.21,2.72422777874,0.302691975415,0.286702672782,0.0318558525313,48.0,1525108.0,49.0,45.0,
SVL0803,27.0,35.0,20.0,36.0,32.0,-16.5,-24.27,9.31006908238,0.300324809109,0.341355100343,0.0110114548498,182.0,5506930.0,66.0,146.0,
MDM0625,18.0,42.0,36.0,27.0,24.0,-8.97,-27.09,18.8489493549,0.29451483367,0.30438175398,0.00475596490594,667.0,20175261.0,233.0,301.0,
GMF0738,30.0,40.0,45.0,20.0,18.0,-8.43,-30.24,12.8539950315,0.292136250716,0.341355100343,0.00775807046234,570.0,17561800.0,0.0,236.0,
BER0314,23.0,20.0,18.0,19.0,32.0,-6.09,-9.46,13.801086471,0.293640137682,0.341355100343,0.00726287447539,307.0,9253665.0,59.0,179.0,
AMR0400,19.0,16.0,47.0,28.0,28.0,-1.83,-15.75,9.53074395552,0.288810422894,0.286702672782,0.00868795978127,441.0,13152023.0,0.0,247.0,
YCE0983,39.0,21.0,42.0,30.0,36.0,-8.82,-19.41,7.42107880941,0.296843152376,0.32992232246,0.0131968928984,256.0,7909466.0,317.0,163.0,
BJW0619,30.0,43.0,47.0,21.0,39.0,-3.8,-22.34,14.7918459022,0.29003619416,0.30438175398,0.00596826968589,567.0,17309303.0,176.0,285.0,
TYB0779,24.0,20.0,35.0,36.0,34.0,-8.97,-17.78,5.73370828171,0.30177412009,0.286702672782,0.0150896143569,76.0,2305980.0,107.0,73.0,
KBL0260,16.0,15.0,48.0,16.0,32.0,5.6,-7.88,7.50349524585,0.288595970994,0.341355100343,0.0131290423209,138.0,4114159.0,0.0,100.0,
HCL0651,21.0,19.0,44.0,36.0,33.0,-5.9,-18.14,5.21137099307,0.289520610726,0.286702672782,0.0159279262657,104.0,3160152.0,116.0,92.0,
SCP0130,42.0,18.0,35.0,32.0,24.0,-14.73,-24.46,2.90925821236,0.290925821236,0.341355100343,0.0341355100343,57.0,1720584.0,69.0,52.0,
CMW0783,21.0,35.0,14.0,16.0,26.0,-9.04,-16.67,4.07375730022,0.290982664302,0.286702672782,0.0204787623416,62.0,1832213.0,0.0,59.0,
RKF0164,40.0,42.0,17.0,18.0,42.0,-12.13,-18.16,8.06810711995,0.310311812306,0.341355100343,0.0131290423209,2047.0,61354245.0,1371.0,345.0,
DOL0332,32.0,40.0,41.0,18.0,24.0,-7.73,-26.62,5.99008777709,0.315267777742,0.341355100343,0.0179660579128,121.0,3720332.0,117.0,102.0,
RSC0089,41.0,26.0,35.0,21.0,29.0,-9.78,-20.87,8.67533097957,0.30983324927,0.30438175398,0.0108707769279,188.0,5424852.0,130.0,117.0,
CCM0136,16.0,16.0,39.0,40.0,29.0,-7.85,-18.49,1.38640784923,0.277281569846,0.291982910479,0.0583965820958,25.0,785187.0,21.0,25.0,
NCH0179,17.0,12.0,40.0,17.0,25.0,1.67,-9.55,11.2747693163,0.281869232907,0.341355100343,0.00853387750858,333.0,10106450.0,307.0,207.0,
NBH0256,41.0,43.0,14.0,21.0,22.0,-19.43,-29.12,9.85855633636,0.308079885511,0.30438175398,0.00951192981189,173.0,5411374.0,148.0,113.0,
ORG0339,50.0,28.0,46.0,47.0,20.0,-23.39,-40.21,4.25812344775,0.266132715484,0.30438175398,0.0190238596238,134.0,3752364.0,71.0,105.0,
FRR0832,43.0,40.0,25.0,19.0,30.0,-14.02,-25.04,3.29665337954,0.299695761777,0.341355100343,0.0310322818494,52.0,1544658.0,71.0,48.0,
MSD0939,24.0,37.0,15.0,42.0,31.0,-19.99,-26.73,13.6283534806,0.289964967673,0.341355100343,0.00726287447539,333.0,10232598.0,79.0,184.0,
OQH0183,34.0,38.0,18.0,33.0,23.0,-20.45,-30.1,8.07326516855,0.310510198791,0.341355100343,0.0131290423209,137.0,4236705.0,22.0,111.0,
BSH0445,38.0,22.0,30.0,15.0,21.0,-8.83,-19.06,9.37999849099,0.302580596484,0.341355100343,0.0110114548498,331.0,9890491.0,212.0,193.0,
NGO0690,43.0,41.0,41.0,17.0,24.0,-10.76,-29.4,9.16503659585,0.305501219862,0.30438175398,0.010146058466,152.0,4795160.0,86.0,107.0,
VCC0396,21.0,45.0,16.0,37.0,23.0,-19.89,-31.33,8.16469306231,0.291596180797,0.286702672782,0.0102393811708,345.0,10140465.0,354.0,221.0,
KPP0452,44.0,46.0,44.0,16.0,19.0,-11.88,-34.15,1.34899423195,0.269798846391,0.341355100343,0.0682710200686,16.0,496637.0,14.0,15.0,
