04/01/2011 00:05:37,SSJ0784,PC-0840,Logon,
04/01/2011 00:20:03,WPR0368,PC-0235,Logon,
04/01/2011 00:21:35,WPR0368,PC-0235,Logoff,
04/01/2011 00:55:57,BKW0374,PC-0427,Logon,
04/01/2011 01:05:11,KKW0879,PC-2531,Logon,
04/01/2011 01:09:10,BKW0374,PC-0427,Logoff,
04/01/2011 01:36:43,CBB0365,PC-7655,Logon,
04/01/2011 01:51:14,CBB0365,PC-7655,Logoff,
04/01/2011 01:58:56,JRS0362,PC-2479,Logon,
04/01/2011 02:04:25,JRS0362,PC-2479,Logoff,
04/01/2011 02:20:07,SAK0375,PC-9901,Logon,
04/01/2011 02:23:17,ACC0042,PC-0795,Logon,
04/01/2011 02:31:30,ACC0042,PC-0795,Logoff,
04/01/2011 02:32:10,WPR0368,PC-3815,Logon,
04/01/2011 02:38:39,HDS0367,PC-1109,Logon,
04/01/2011 02:39:01,SAK0375,PC-9901,Logoff,
04/01/2011 02:43:37,WPR0368,PC-3815,Logoff,
04/01/2011 02:47:26,HDS0367,PC-1109,Logoff,
04/01/2011 02:52:58,CBB0365,PC-0653,Logon,
04/01/2011 03:01:20,CBB0365,PC-0653,Logoff,
04/01/2011 03:02:05,JLM0364,PC-1514,Logon,
04/01/2011 03:11:48,TSM0363,PC-8711,Logon,
04/01/2011 03:14:57,MNS0224,PC-0151,Logon,
04/01/2011 03:15:43,BKW0374,PC-6263,Logon,
04/01/2011 03:15:45,JLM0364,PC-1514,Logoff,
04/01/2011 03:26:14,BKW0374,PC-6263,Logoff,
04/01/2011 03:26:50,KJP0371,PC-4486,Logon,
04/01/2011 03:28:33,TSM0363,PC-8711,Logoff,
04/01/2011 03:30:51,MNS0224,PC-0151,Logoff,
04/01/2011 03:37:44,KJP0371,PC-4486,Logoff,
04/01/2011 03:43:25,QNP0216,PC-0669,Logon,
04/01/2011 03:49:18,QNP0216,PC-0669,Logoff,
04/01/2011 03:49:59,IBB0359,PC-8089,Logon,
04/01/2011 03:50:26,HAD0246,PC-0926,Logon,
04/01/2011 03:56:21,IBB0359,PC-8089,Logoff,
04/01/2011 04:02:32,EIS0041,PC-6282,Logon,
04/01/2011 04:07:20,EIS0041,PC-6282,Logoff,
04/01/2011 04:35:29,UIR0043,PC-2143,Logon,
04/01/2011 04:37:47,UIR0043,PC-2143,Logoff,
04/01/2011 04:43:09,AJF0370,PC-8354,Logon,
04/01/2011 04:43:19,JRS0362,PC-3142,Logon,
04/01/2011 04:45:25,DMG0358,PC-8732,Logon,
04/01/2011 04:46:08,AJF0370,PC-8354,Logoff,
04/01/2011 04:48:04,JRS0362,PC-3142,Logoff,
04/01/2011 04:49:31,ACC0042,PC-2640,Logon,
04/01/2011 04:51:48,BAL0044,PC-0840,Logon,
04/01/2011 04:55:29,DMG0358,PC-8732,Logoff,
04/01/2011 04:58:32,BAL0044,PC-0840,Logoff,
04/01/2011 05:00:34,ACC0042,PC-2640,Logoff,
04/01/2011 05:07:20,KJP0371,PC-4577,Logon,
04/01/2011 05:10:07,LBC0356,PC-8087,Logon,
04/01/2011 05:12:10,CTR0341,PC-6184,Logoff,
