user_id, o, c, e, a, n, cpb-i, cpb-o, dis_ocean, avg_dis_ocean, dis_os, avg_dis_os, email_ratio, cnt_send, cnt_s_size, cnt_s_attach, cnt_s_days
CEL0561,40.0,39.0,36.0,19.0,40.0,-7.81,-20.47,667.258462159,26.6903384864,16.0,0.64,171.0,5159881.0,99.0,131.0,
JFC0557,22.0,16.0,23.0,40.0,33.0,-12.69,-16.19,906.881537081,31.2717771407,28.0,0.965517241379,246.0,7548335.0,240.0,158.0,
ASD0577,40.0,48.0,36.0,14.0,37.0,-7.82,-23.79,338.985579333,33.8985579333,16.0,1.6,33.0,905467.0,0.0,32.0,
GRM0868,21.0,25.0,20.0,13.0,28.0,-4.17,-10.82,1202.47849403,27.9646161402,16.0,0.372093023256,226.0,6664121.0,0.0,134.0,
AAL0706,37.0,14.0,28.0,13.0,25.0,-5.93,-12.35,140.369190981,28.0738381962,30.0,6.0,17.0,561035.0,8.0,17.0,
RVC0232,34.0,20.0,47.0,38.0,25.0,-11.99,-26.77,963.79182018,31.0900587155,24.0,0.774193548387,629.0,18554849.0,367.0,261.0,
TCD0009,44.0,28.0,44.0,38.0,23.0,-17.5,-33.37,962.781155092,29.175186518,16.0,0.484848484848,39.0,1086123.0,22.0,39.0,
ASM0575,42.0,25.0,21.0,45.0,30.0,-23.5,-28.37,179.336328668,29.8893881113,30.0,5.0,50.0,1432329.0,57.0,46.0,
JLM0364,35.0,22.0,15.0,25.0,37.0,-12.14,-13.09,1283.8615972,29.1786726637,16.0,0.363636363636,740.0,21961745.0,221.0,290.0,
FOB0756,42.0,41.0,34.0,20.0,27.0,-12.78,-28.13,355.796538183,25.4140384416,24.0,1.71428571429,68.0,2053250.0,69.0,66.0,
GCG0951,33.0,33.0,25.0,19.0,44.0,-6.54,-12.88,321.772058887,29.2520053534,16.0,1.45454545455,63.0,1850478.0,40.0,56.0,
AAV0450,44.0,24.0,36.0,41.0,33.0,-17.75,-27.18,217.645112214,31.0921588878,16.0,2.28571428571,19.0,530538.0,17.0,18.0,
CJV0286,18.0,14.0,17.0,13.0,26.0,-2.74,-5.81,547.982900655,36.532193377,28.0,1.86666666667,198.0,6396780.0,189.0,140.0,
TDG0962,42.0,40.0,36.0,26.0,21.0,-16.14,-33.21,229.210256534,25.4678062815,30.0,3.33333333333,48.0,1525108.0,49.0,45.0,
SVL0803,27.0,35.0,20.0,36.0,32.0,-16.5,-24.27,834.590362257,26.9222697502,16.0,0.516129032258,182.0,5506930.0,66.0,146.0,
MDM0625,18.0,42.0,36.0,27.0,24.0,-8.97,-27.09,1811.59406028,28.3061571919,24.0,0.375,667.0,20175261.0,233.0,301.0,
GMF0738,30.0,40.0,45.0,20.0,18.0,-8.43,-30.24,1295.51880331,29.443609166,16.0,0.363636363636,570.0,17561800.0,0.0,236.0,
BER0314,23.0,20.0,18.0,19.0,32.0,-6.09,-9.46,1356.92423587,28.8707284228,16.0,0.340425531915,307.0,9253665.0,59.0,179.0,
AMR0400,19.0,16.0,47.0,28.0,28.0,-1.83,-15.75,1096.70150773,33.233379022,30.0,0.909090909091,441.0,13152023.0,0.0,247.0,
YCE0983,39.0,21.0,42.0,30.0,36.0,-8.82,-19.41,691.833711203,27.6733484481,18.0,0.72,256.0,7909466.0,317.0,163.0,
BJW0619,30.0,43.0,47.0,21.0,39.0,-3.8,-22.34,1559.25020935,30.5735335166,24.0,0.470588235294,567.0,17309303.0,176.0,285.0,
TYB0779,24.0,20.0,35.0,36.0,34.0,-8.97,-17.78,491.453904963,25.865994998,30.0,1.57894736842,76.0,2305980.0,107.0,73.0,
KBL0260,16.0,15.0,48.0,16.0,32.0,5.6,-7.88,876.8139001,33.7236115423,16.0,0.615384615385,138.0,4114159.0,0.0,100.0,
HCL0651,21.0,19.0,44.0,36.0,33.0,-5.9,-18.14,555.049638057,30.8360910032,30.0,1.66666666667,104.0,3160152.0,116.0,92.0,
SCP0130,42.0,18.0,35.0,32.0,24.0,-14.73,-24.46,292.594860762,29.2594860762,16.0,1.6,57.0,1720584.0,69.0,52.0,
