['1': '': '': ''],8.5,14.5,
['1': '1 - Adminstration': '': ''],9.0,17.5,
['1': '1 - Adminstration': '1 - Personnel': ''],8.0,18.0,
['1': '1 - Adminstration': '2 - EmployeeRelations': ''],7.5,15.5,
['1': '1 - Adminstration': '3 - Training': ''],8.0,17.5,
['1': '1 - Adminstration': '4 - Safety': ''],9.5,18.0,
['1': '1 - Adminstration': '5 - Medical': ''],8.0,18.5,
['1': '1 - Adminstration': '6 - Security': ''],8.5,19.5,
['1': '1 - Adminstration': '6 - Security': '1 - BuildingSecurity'],8.0,15.5,
['1': '1 - Adminstration': '6 - Security': '2 - ElectronicSecurity'],6.5,15.5,
['1': '1 - Adminstration': '6 - Security': '3 - ElectronicSecurity'],6.5,16.0,
['1': '2 - ResearchAndEngineering': '': ''],8.0,17.0,
['1': '2 - ResearchAndEngineering': '1 - Research': ''],8.5,17.5,
['1': '2 - ResearchAndEngineering': '1 - Research': '1 - Lab'],8.0,19.0,
['1': '2 - ResearchAndEngineering': '1 - Research': '2 - Lab'],8.0,16.0,
['1': '2 - ResearchAndEngineering': '1 - Research': '3 - Lab'],8.0,18.0,
['1': '2 - ResearchAndEngineering': '1 - Research': '4 - Lab'],8.0,16.0,
['1': '2 - ResearchAndEngineering': '1 - Research': '5 - Lab'],8.5,17.0,
['1': '2 - ResearchAndEngineering': '1 - Research': '6 - Lab'],8.5,19.5,
['1': '2 - ResearchAndEngineering': '2 - SoftwareManagement': ''],7.5,15.0,
['1': '2 - ResearchAndEngineering': '2 - SoftwareManagement': '1 - Software'],8.0,18.0,
['1': '2 - ResearchAndEngineering': '2 - SoftwareManagement': '2 - Software'],8.0,19.0,
['1': '2 - ResearchAndEngineering': '2 - SoftwareManagement': '3 - Software'],9.0,18.0,
['1': '2 - ResearchAndEngineering': '2 - SoftwareManagement': '4 - Software'],9.0,19.0,
['1': '2 - ResearchAndEngineering': '2 - SoftwareManagement': '5 - Software'],8.5,20.5,
['1': '2 - ResearchAndEngineering': '2 - SoftwareManagement': '6 - Software'],7.5,16.0,
['1': '2 - ResearchAndEngineering': '3 - Engineering': ''],7.0,15.5,
['1': '2 - ResearchAndEngineering': '3 - Engineering': '1 - MechanicalEngineering'],8.0,17.0,
['1': '2 - ResearchAndEngineering': '3 - Engineering': '2 - ElectricalEngineering'],8.0,16.5,
['1': '2 - ResearchAndEngineering': '3 - Engineering': '3 - MaterialsEngineering'],7.5,15.5,
['1': '2 - ResearchAndEngineering': '3 - Engineering': '4 - SystemsEngineering'],7.5,17.0,
['1': '2 - ResearchAndEngineering': '3 - Engineering': '5 - TestAndEvalualtion'],9.5,18.0,
['1': '2 - ResearchAndEngineering': '3 - Engineering': '6 - SystemsEngineering'],8.0,18.0,
['1': '2 - ResearchAndEngineering': '3 - Engineering': '7 - TestAndEvalualtion'],8.0,17.0,
['1': '3 - Manufacturing': '': ''],7.5,16.5,
['1': '3 - Manufacturing': '1 - IndustrialEngineering': ''],9.5,21.0,
['1': '3 - Manufacturing': '2 - ManufacturingEngineering': ''],8.5,19.0,
['1': '3 - Manufacturing': '3 - Assembly': ''],7.5,16.0,
['1': '3 - Manufacturing': '3 - Assembly': '1 - AssemblyDept'],9.0,18.0,
['1': '3 - Manufacturing': '3 - Assembly': '2 - AssemblyDept'],8.0,18.0,
['1': '3 - Manufacturing': '3 - Assembly': '3 - AssemblyDept'],8.5,18.5,
['1': '3 - Manufacturing': '3 - Assembly': '4 - AssemblyDept'],8.0,16.5,
['1': '3 - Manufacturing': '3 - Assembly': '5 - AssemblyDept'],8.5,19.5,
['1': '3 - Manufacturing': '3 - Assembly': '6 - AssemblyDept'],7.5,16.0,
['1': '3 - Manufacturing': '4 - QualityControl': ''],7.5,17.0,
['1': '4 - Finance': '': ''],9.0,15.5,
['1': '4 - Finance': '1 - Accounting': ''],8.5,16.5,
['1': '4 - Finance': '2 - Payroll': ''],8.5,18.5,
['1': '4 - Finance': '3 - FinancialPlanning': ''],7.0,17.0,
['1': '5 - SalesAndMarketing': '': ''],7.0,16.0,
['1': '5 - SalesAndMarketing': '1 - MarketAnalysis': ''],7.5,16.0,
['1': '5 - SalesAndMarketing': '2 - Sales': ''],7.5,18.0,
['1': '5 - SalesAndMarketing': '2 - Sales': '1 - RegionalSales'],8.0,15.5,
['1': '5 - SalesAndMarketing': '2 - Sales': '2 - RegionalSales'],8.5,17.0,
['1': '5 - SalesAndMarketing': '2 - Sales': '3 - RegionalSales'],8.0,17.0,
['1': '5 - SalesAndMarketing': '2 - Sales': '4 - RegionalSales'],8.0,17.0,
['1': '5 - SalesAndMarketing': '2 - Sales': '5 - RegionalSales'],8.0,17.5,
['1': '5 - SalesAndMarketing': '3 - FieldService': ''],9.0,18.5,
['1': '5 - SalesAndMarketing': '3 - FieldService': '1 - RegionalFieldService'],7.5,18.0,
['1': '5 - SalesAndMarketing': '3 - FieldService': '2 - RegionalFieldService'],9.0,17.0,
['1': '5 - SalesAndMarketing': '3 - FieldService': '3 - RegionalFieldService'],9.5,21.0,
['1': '5 - SalesAndMarketing': '3 - FieldService': '4 - RegionalFieldService'],8.5,16.5,
['1': '5 - SalesAndMarketing': '3 - FieldService': '5 - RegionalFieldService'],9.5,18.0,
['1': '6 - PurchasingAndContracts': '': ''],7.5,15.5,
['1': '6 - PurchasingAndContracts': '1 - Purchasing': ''],8.5,18.0,
['1': '6 - PurchasingAndContracts': '2 - Pricing': ''],7.5,15.5,
['1': '6 - PurchasingAndContracts': '3 - Contracts': ''],7.5,17.0,
