user_id,O_Score,C_Score,E_Score,A_Score,N_Score,Team_CPB-I-mean,Team_CPB-O-mean,Users-less-mean-A,Users-less-mean-A and C,Users-less-mean-C,Users-High-mean-N,Team_CPB-I-median,Team_CPB-O-median,No-JobState-in-Team,Dpt-CPB-I-mean,Dpt_CPB-O-mean,Dpt-Less-A-mean,Dpt-Less-AC-mean,Dpt-less-C-mean,Dpt-High-N-mean,Dpt_CPB-I-median,Dpt_CPB-O-median,No-JobState-in-Dpt,Job State,Leader_CPB-I,Leader_CPB-O
CEL0561,40.0,39.0,36.0,19.0,40.0,-8.663333333333332,-19.153333333333336,10,5,8,13,-5.51,-15.509999999999998,2,-12.823400000000001,-23.400999999999996,55,27,45,56,-12.805,-24.435,17,18,0,0,
CRD0624,26.0,22.0,17.0,39.0,32.0,-12.950999999999999,-23.954666666666665,15,8,14,12,-15.33,-26.115,4,-12.233076923076926,-22.799423076923084,85,46,73,76,-12.605,-23.75,22,3,0,0,
JFC0557,22.0,16.0,23.0,40.0,33.0,-8.338,-19.438666666666663,11,5,7,13,-7.829999999999998,-22.86,2,-12.7746,-23.443800000000003,56,27,44,56,-12.195000000000002,-24.875,17,18,0,0,
ASD0577,40.0,48.0,36.0,14.0,37.0,-16.380666666666666,-23.899,10,5,16,18,-18.814999999999998,-24.805,6,-13.2024064171123,-22.86850267379679,91,52,98,95,-14.69,-23.45,24,18,0,0,
MAR0955,36.0,44.0,23.0,44.0,25.0,-11.093666666666667,-20.320999999999998,21,15,21,11,-10.825,-18.505,4,-13.110481283422459,-22.79566844919786,92,52,98,96,-14.44,-23.57,23,15,0,0,
GRM0868,21.0,25.0,20.0,13.0,28.0,-11.758000000000003,-21.769666666666666,15,9,13,15,-13.775000000000002,-24.155,3,-12.309935897435896,-22.852948717948713,84,45,73,77,-13.035,-24.160000000000004,23,18,0,0,
AAL0706,37.0,14.0,28.0,13.0,25.0,-10.249666666666668,-20.385666666666665,19,10,16,18,-9.010000000000002,-19.839999999999996,2,-13.212513368983956,-22.929679144385027,91,51,97,96,-14.85,-23.89,24,18,0,0,
RVC0232,34.0,20.0,47.0,38.0,25.0,-13.053999999999998,-23.732666666666667,9,5,6,7,-12.690000000000001,-25.48,4,-12.944099999999997,-23.339199999999998,52,28,42,48,-13.945,-25.225,16,18,0,0,
TCD0009,44.0,28.0,44.0,38.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,
ASM0575,42.0,25.0,21.0,45.0,30.0,-15.858,-23.746333333333332,11,5,15,18,-19.28,-26.565,6,-13.11855614973262,-22.844010695187162,92,52,97,95,-14.6,-24.009999999999998,24,18,0,0,
DAR0885,43.0,43.0,44.0,41.0,25.0,-10.879000000000001,-20.922666666666665,17,11,20,13,-9.105,-18.380000000000003,6,-11.939102564102562,-22.383333333333333,77,45,84,70,-12.014999999999999,-22.34,24,2,0,0,
JLM0364,35.0,22.0,15.0,25.0,37.0,-15.272,-24.610500000000002,11,5,7,12,-14.610000000000001,-23.585,5,-14.35576271186441,-24.664406779661014,31,13,23,32,-16.080000000000002,-26.25,18,16,0,0,
FOB0756,42.0,41.0,34.0,20.0,27.0,-12.438666666666666,-22.154,14,6,14,20,-15.285000000000002,-24.735,2,-11.988012820512818,-22.459487179487184,76,45,84,70,-12.229999999999999,-22.545,25,18,0,0,
GCG0951,33.0,33.0,25.0,19.0,44.0,-11.709333333333335,-21.138666666666666,20,15,21,10,-11.04,-18.709999999999997,5,-13.209251336898395,-22.9268449197861,91,52,98,95,-14.44,-23.57,24,18,0,0,
HWY0038,47.0,39.0,40.0,22.0,24.0,-15.6405,-25.324,9,3,9,12,-18.195,-27.8,10,-14.323559322033898,-24.35322033898305,31,14,24,33,-15.619999999999997,-25.559999999999995,18,6,0,0,
AAV0450,44.0,24.0,36.0,41.0,33.0,-15.44833333333333,-25.244666666666667,12,5,12,14,-17.6,-28.975,3,-13.149304812834227,-22.850374331550803,92,52,97,95,-14.85,-23.89,24,18,0,0,
CJV0286,18.0,14.0,17.0,13.0,26.0,-14.913999999999998,-25.918999999999997,10,4,6,7,-15.884999999999998,-26.380000000000003,5,-13.645546875000003,-24.467656249999997,72,30,48,58,-14.594999999999999,-25.380000000000003,19,18,0,0,
TDG0962,42.0,40.0,36.0,26.0,21.0,-11.389333333333333,-20.461000000000002,20,15,21,11,-10.799999999999997,-18.32,5,-13.157914438502672,-22.818128342245984,91,52,98,96,-14.69,-23.45,24,18,0,0,
SVL0803,27.0,35.0,20.0,36.0,32.0,-14.657333333333334,-25.556666666666665,4,1,5,8,-17.369999999999997,-30.25,1,-12.898999999999997,-23.364199999999997,52,28,43,47,-13.614999999999998,-25.125,16,18,0,0,
QOS0878,18.0,12.0,20.0,16.0,29.0,-11.82233333333333,-21.960000000000004,15,9,13,15,-13.775000000000002,-24.155,2,-12.322307692307692,-22.889551282051283,84,45,73,77,-13.035,-24.160000000000004,22,5,0,0,
MDM0625,18.0,42.0,36.0,27.0,24.0,-13.190666666666667,-23.690666666666665,14,8,15,13,-16.995,-26.505000000000003,5,-12.279166666666665,-22.748653846153847,84,46,74,77,-12.855,-23.630000000000003,23,18,0,0,
GMF0738,30.0,40.0,45.0,20.0,18.0,-13.916666666666664,-24.520333333333333,13,6,15,14,-14.299999999999999,-26.870000000000005,6,-12.282628205128203,-22.728461538461538,84,46,74,77,-13.285,-24.040000000000003,23,18,0,0,
BER0314,23.0,20.0,18.0,19.0,32.0,-11.484000000000002,-21.876,20,10,13,17,-11.910000000000002,-23.155,3,-12.297628205128206,-22.861666666666665,84,45,73,76,-13.035,-24.160000000000004,23,18,0,0,
AMR0400,19.0,16.0,47.0,28.0,28.0,-15.038571428571428,-24.848571428571432,7,4,7,5,-18.384999999999998,-27.465,1,-12.883200000000002,-23.4482,55,26,44,57,-12.700000000000001,-24.34,17,18,0,0,
YCE0983,39.0,21.0,42.0,30.0,36.0,0,0,0,0,0,0,0,0,0,-16.557500000000005,-25.78875,4,2,3,3,-19.385,-29.35,1,18,0,0,
BJW0619,30.0,43.0,47.0,21.0,39.0,-13.362999999999998,-23.848999999999997,14,8,15,12,-17.115000000000002,-26.740000000000002,5,-12.312307692307694,-22.779102564102562,84,46,74,76,-13.285,-24.040000000000003,23,18,0,0,
DPS0262,20.0,25.0,20.0,14.0,32.0,-11.854666666666667,-22.418,9,6,8,5,-10.66,-21.700000000000003,1,-13.640859374999998,-24.441953124999998,72,30,48,57,-14.594999999999999,-25.380000000000003,18,6,0,0,
TYB0779,24.0,20.0,35.0,36.0,34.0,-12.565666666666665,-22.498999999999995,15,6,13,19,-14.84,-24.575000000000003,2,-12.012435897435896,-22.52583333333333,77,45,83,69,-12.325,-22.905,25,18,0,0,
MAS0025,23.0,14.0,20.0,21.0,23.0,0,0,0,0,0,0,0,0,0,-16.70375,-26.701249999999998,3,1,3,4,-18.684999999999995,-29.21,0,10,0,0,
KBL0260,16.0,15.0,48.0,16.0,32.0,-12.450666666666663,-22.499333333333333,9,6,8,5,-10.66,-21.700000000000003,2,-13.710703125,-24.451484375,72,30,48,57,-14.719999999999999,-25.32,19,18,0,0,
GHL0460,21.0,37.0,24.0,17.0,35.0,-15.869,-25.653000000000002,11,5,13,14,-18.814999999999998,-29.54,2,-13.216791443850271,-22.91588235294118,91,52,98,95,-14.44,-23.57,23,11,0,0,
FMG0527,43.0,38.0,35.0,38.0,28.0,-12.830666666666666,-23.575666666666667,13,10,16,13,-13.394999999999998,-24.105,6,-11.942692307692308,-22.421282051282052,77,45,84,70,-12.014999999999999,-22.34,24,13,0,0,
HCL0651,21.0,19.0,44.0,36.0,33.0,-11.723666666666668,-21.656333333333336,14,9,16,10,-12.360000000000001,-21.134999999999998,5,-12.032115384615384,-22.523525641025643,77,45,83,69,-12.325,-22.905,25,18,0,0,
SCP0130,42.0,18.0,35.0,32.0,24.0,-12.874333333333329,-23.104999999999997,13,6,15,16,-16.015,-26.669999999999998,3,-13.165454545454544,-22.864919786096255,92,52,97,96,-14.85,-23.89,24,18,0,0,
CMW0783,21.0,35.0,14.0,16.0,26.0,-12.563333333333333,-22.535999999999998,14,6,14,20,-14.285000000000002,-25.214999999999996,2,-12.01198717948718,-22.532948717948713,76,45,84,70,-12.254999999999999,-22.730000000000004,25,18,0,0,
RKF0164,40.0,42.0,17.0,18.0,42.0,0,0,0,0,0,0,0,0,0,-19.316666666666663,-29.04333333333333,0,0,0,1,-20.59,-30.54,1,16,0,0,
DOL0332,32.0,40.0,41.0,18.0,24.0,-12.322333333333336,-23.68633333333333,16,8,15,11,-12.15,-24.9,4,-12.020384615384614,-22.469166666666666,76,45,84,70,-12.379999999999999,-22.67,25,18,0,0,
RSC0089,41.0,26.0,35.0,21.0,29.0,-11.425333333333334,-21.633333333333336,9,6,8,6,-9.899999999999999,-20.759999999999998,2,-13.590546875000001,-24.35,72,30,48,58,-14.569999999999999,-25.195,19,18,0,0,
CCM0136,16.0,16.0,39.0,40.0,29.0,-13.103666666666665,-23.304,13,6,15,16,-15.305,-25.974999999999998,3,-13.202245989304814,-22.896844919786094,92,52,97,96,-14.85,-23.89,24,18,0,0,
NCH0179,17.0,12.0,40.0,17.0,25.0,-12.635666666666665,-24.255333333333336,16,7,14,11,-12.550000000000002,-26.0,4,-12.080641025641029,-22.57858974358975,76,44,83,70,-12.54,-23.11,25,18,0,0,
NBH0256,41.0,43.0,14.0,21.0,22.0,-10.781999999999996,-21.083333333333332,9,7,9,6,-9.899999999999999,-20.759999999999998,2,-13.51515625,-24.285546875,72,31,49,58,-14.365,-25.035000000000004,19,18,0,0,
ORG0339,50.0,28.0,46.0,47.0,20.0,-11.800333333333333,-23.233333333333334,17,8,14,11,-12.035000000000002,-25.545,4,-11.919999999999998,-22.38205128205128,77,45,83,70,-12.014999999999999,-22.34,25,18,0,0,
FRR0832,43.0,40.0,25.0,19.0,30.0,-12.825666666666663,-24.10133333333333,14,10,13,15,-15.359999999999998,-28.065,5,-13.169251336898398,-22.86181818181818,91,52,98,95,-14.44,-23.57,24,18,0,0,
MSD0939,24.0,37.0,15.0,42.0,31.0,-14.231999999999996,-24.448,7,4,8,8,-16.0,-24.52,2,-12.701599999999997,-23.3384,56,27,45,56,-12.115,-24.655,17,18,0,0,
OQH0183,34.0,38.0,18.0,33.0,23.0,-11.898333333333335,-23.570333333333334,17,8,15,11,-11.685,-24.815,4,-11.938846153846153,-22.446858974358978,77,45,84,70,-11.889999999999999,-22.4,25,18,0,0,
BSH0445,38.0,22.0,30.0,15.0,21.0,-13.479999999999999,-25.567999999999998,11,6,9,9,-12.569999999999999,-27.264999999999997,3,-13.59796875,-24.364140624999997,72,30,48,58,-14.569999999999999,-25.195,19,18,0,0,
KSP0357,41.0,40.0,29.0,19.0,24.0,-15.185999999999996,-23.873,11,6,8,13,-15.425,-22.645000000000003,5,-14.326610169491525,-24.414406779661014,31,14,24,33,-15.619999999999997,-25.559999999999995,18,12,0,0,
NGO0690,43.0,41.0,41.0,17.0,24.0,-8.606,-22.230000000000004,9,4,7,9,-7.970000000000001,-23.94,2,-12.7939,-23.3117,55,27,45,57,-12.684999999999999,-24.2,17,18,0,0,
VCC0396,21.0,45.0,16.0,37.0,23.0,-13.748571428571429,-23.735714285714288,8,5,8,5,-15.62,-22.6,1,-12.702599999999999,-23.2924,56,27,45,57,-11.995,-24.42,17,18,0,0,
WDD0366,43.0,42.0,17.0,19.0,28.0,-15.038000000000004,-23.970000000000006,11,6,8,13,-14.8,-22.945,5,-14.2764406779661,-24.44728813559322,31,14,24,33,-15.619999999999997,-25.559999999999995,18,15,0,0,
KPP0452,44.0,46.0,44.0,16.0,19.0,-15.643999999999998,-25.01233333333333,11,5,13,15,-18.25,-28.635,3,-13.180695187165773,-22.813101604278074,91,52,98,96,-14.69,-23.45,24,18,0,0,
RTO0313,44.0,45.0,25.0,17.0,27.0,-11.187666666666667,-21.255333333333333,20,11,14,18,-11.4,-22.135,3,-12.240641025641025,-22.74230769230769,84,46,74,77,-13.035,-24.160000000000004,23,18,0,0,
ABM0845,45.0,21.0,35.0,50.0,29.0,-12.537999999999997,-23.884,15,10,12,16,-15.010000000000002,-26.25,5,-13.123101604278073,-22.82695187165775,92,52,97,96,-14.85,-23.89,24,18,0,0,
VIA0063,40.0,34.0,19.0,50.0,33.0,-15.241999999999999,-24.426666666666666,7,4,6,8,-18.39,-27.1,5,-12.6388,-23.283400000000007,56,27,45,56,-12.045000000000002,-24.75,17,18,0,0,
BIH0745,43.0,39.0,50.0,27.0,25.0,-13.789333333333332,-24.42066666666667,13,6,15,14,-14.0,-26.620000000000005,5,-12.258141025641029,-22.70929487179487,84,46,74,77,-12.855,-23.630000000000003,22,7,0,0,
CCW0031,33.0,47.0,30.0,39.0,33.0,-11.022,-23.703999999999997,9,4,5,6,-9.79,-25.61,2,-14.243389830508475,-24.32677966101695,32,14,24,32,-15.919999999999998,-25.809999999999995,19,18,0,0,
IYB0918,17.0,21.0,42.0,14.0,30.0,-14.545333333333335,-25.179333333333336,8,4,6,7,-14.849999999999998,-26.23,2,-13.0962,-23.505200000000002,51,27,42,47,-14.59,-25.839999999999996,16,18,0,0,
ORM0669,44.0,39.0,28.0,39.0,36.0,-15.708666666666666,-26.388666666666666,6,2,4,8,-19.35,-30.06,4,-12.858300000000003,-23.301000000000002,52,28,43,47,-13.464999999999998,-25.0,16,18,0,0,
MJB0588,39.0,24.0,15.0,47.0,38.0,-15.878666666666668,-23.908,11,5,15,18,-19.4,-26.8,6,-13.12187165775401,-22.86994652406417,92,52,97,95,-14.6,-24.009999999999998,24,18,0,0,
ALB0892,25.0,19.0,44.0,22.0,30.0,-11.49933333333333,-21.762666666666668,16,10,19,12,-10.575,-20.405,6,-12.058397435897433,-22.544871794871796,76,44,83,69,-12.54,-23.11,24,9,0,0,
LIM0674,18.0,13.0,35.0,49.0,20.0,-16.080000000000002,-26.753999999999998,6,2,3,9,-19.35,-30.06,4,-12.913999999999998,-23.355799999999995,52,28,42,48,-13.945,-25.225,16,18,0,0,
LHN0151,13.0,15.0,19.0,32.0,26.0,0,0,0,0,0,0,0,0,0,-8.366666666666667,-18.803333333333335,3,2,2,3,-8.479999999999999,-17.57,0,18,0,0,
WTR0563,47.0,45.0,46.0,15.0,31.0,-8.596666666666666,-18.608,10,5,8,13,-5.51,-15.509999999999998,2,-12.813399999999998,-23.319200000000002,55,27,45,56,-12.805,-24.435,17,18,0,0,
MKS0204,21.0,30.0,21.0,16.0,31.0,0,0,0,0,0,0,0,0,0,-15.356000000000003,-26.494,2,0,0,0,-16.810000000000002,-26.209999999999997,1,18,0,0,
AAW0353,49.0,45.0,19.0,25.0,34.0,-15.381999999999994,-25.19733333333333,11,5,13,14,-18.365000000000002,-29.165,3,-13.138663101604276,-22.842780748663102,91,52,98,95,-14.44,-23.57,24,18,0,0,
WJD0576,40.0,20.0,23.0,38.0,26.0,-15.989666666666665,-23.861333333333334,11,5,15,19,-19.494999999999997,-26.77,6,-13.139679144385028,-22.86245989304813,92,52,97,96,-14.6,-24.009999999999998,24,18,0,0,
ILH0958,28.0,17.0,20.0,19.0,24.0,-11.643,-21.12166666666667,20,14,20,11,-11.2,-19.15,5,-13.19860962566845,-22.92411764705882,91,51,97,96,-14.6,-24.009999999999998,24,18,0,0,
TLK0993,41.0,36.0,40.0,35.0,22.0,0,0,0,0,0,0,0,0,0,-10.32125,-19.945,4,3,4,7,-11.435,-22.08,2,18,0,0,
WAB0143,43.0,43.0,24.0,22.0,33.0,0,0,0,0,0,0,0,0,0,-10.7725,-19.155,2,2,4,1,-11.064999999999998,-19.97,0,13,0,0,
RAG0275,23.0,38.0,35.0,41.0,32.0,-15.121500000000001,-25.811500000000002,10,4,6,7,-18.800000000000004,-28.275,1,-13.556171874999999,-24.290859375,73,31,49,57,-14.424999999999997,-24.895000000000003,19,18,0,0,
LQC0479,27.0,38.0,34.0,17.0,36.0,-11.947666666666668,-22.718666666666667,17,10,15,16,-11.055,-21.585,5,-12.308782051282051,-22.80948717948718,84,46,74,76,-13.285,-24.040000000000003,22,10,0,0,
KWC0004,23.0,38.0,39.0,20.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,
CJK0200,40.0,29.0,24.0,38.0,31.0,0,0,0,0,0,0,0,0,0,-12.723333333333334,-27.733333333333334,2,1,1,0,-13.080000000000002,-30.759999999999998,0,18,0,0,
FEB0306,40.0,42.0,26.0,25.0,31.0,-12.847666666666667,-23.011000000000003,12,6,16,15,-14.915,-25.165000000000003,3,-13.161176470588234,-22.849839572192515,91,52,98,95,-14.44,-23.57,24,18,0,0,
IJM0776,41.0,35.0,19.0,41.0,32.0,-12.094666666666667,-22.101666666666667,15,6,14,19,-13.759999999999998,-24.835,1,-11.921858974358976,-22.44942307692308,77,45,84,69,-11.889999999999999,-22.4,24,9,0,0,
NKH0807,45.0,44.0,40.0,22.0,20.0,-12.563333333333336,-24.247333333333337,10,4,5,8,-10.75,-25.11,3,-12.749500000000001,-23.2554,55,27,45,57,-12.684999999999999,-24.2,17,18,0,0,
JMC0925,33.0,10.0,23.0,19.0,31.0,-13.898666666666667,-25.282,8,4,6,7,-13.849999999999998,-26.71,2,-12.9992,-23.520599999999998,51,27,42,47,-14.34,-25.959999999999997,16,18,0,0,
SBH0537,34.0,21.0,14.0,13.0,33.0,-8.668666666666665,-19.901999999999994,10,4,7,13,-8.390000000000002,-23.43,2,-12.824199999999998,-23.513299999999997,55,26,44,56,-12.409999999999998,-25.08,17,18,0,0,
JJB0700,15.0,19.0,39.0,37.0,28.0,-10.214666666666666,-20.170666666666666,20,11,16,18,-9.290000000000003,-19.174999999999997,2,-13.206898395721922,-22.895187165775397,92,52,97,96,-14.85,-23.89,24,18,0,0,
AIS0405,40.0,45.0,14.0,37.0,35.0,-13.511428571428574,-23.816428571428574,8,5,8,4,-15.44,-22.585,1,-12.6694,-23.3037,56,27,45,56,-11.965,-24.53,17,18,0,0,
HAH0760,34.0,17.0,22.0,37.0,30.0,-12.326999999999998,-22.435333333333332,15,6,13,19,-13.72,-24.82,2,-11.966538461538459,-22.513589743589744,77,45,83,69,-12.049999999999999,-22.840000000000003,25,18,0,0,
