LDAP on BU/FU/DPT/TEAM in CERT4.2	67
['1', '', '', '']
['1', '1 - Adminstration', '', '']
['1', '1 - Adminstration', '1 - Personnel', '']
['1', '1 - Adminstration', '2 - EmployeeRelations', '']
['1', '1 - Adminstration', '3 - Training', '']
['1', '1 - Adminstration', '4 - Safety', '']
['1', '1 - Adminstration', '5 - Medical', '']
['1', '1 - Adminstration', '6 - Security', '']
['1', '1 - Adminstration', '6 - Security', '1 - BuildingSecurity']
['1', '1 - Adminstration', '6 - Security', '2 - ElectronicSecurity']
['1', '1 - Adminstration', '6 - Security', '3 - ElectronicSecurity']
['1', '2 - ResearchAndEngineering', '', '']
['1', '2 - ResearchAndEngineering', '1 - Research', '']
['1', '2 - ResearchAndEngineering', '1 - Research', '1 - Lab']
['1', '2 - ResearchAndEngineering', '1 - Research', '2 - Lab']
['1', '2 - ResearchAndEngineering', '1 - Research', '3 - Lab']
['1', '2 - ResearchAndEngineering', '1 - Research', '4 - Lab']
['1', '2 - ResearchAndEngineering', '1 - Research', '5 - Lab']
['1', '2 - ResearchAndEngineering', '1 - Research', '6 - Lab']
['1', '2 - ResearchAndEngineering', '2 - SoftwareManagement', '']
['1', '2 - ResearchAndEngineering', '2 - SoftwareManagement', '1 - Software']
['1', '2 - ResearchAndEngineering', '2 - SoftwareManagement', '2 - Software']
['1', '2 - ResearchAndEngineering', '2 - SoftwareManagement', '3 - Software']
['1', '2 - ResearchAndEngineering', '2 - SoftwareManagement', '4 - Software']
['1', '2 - ResearchAndEngineering', '2 - SoftwareManagement', '5 - Software']
['1', '2 - ResearchAndEngineering', '2 - SoftwareManagement', '6 - Software']
['1', '2 - ResearchAndEngineering', '3 - Engineering', '']
['1', '2 - ResearchAndEngineering', '3 - Engineering', '1 - MechanicalEngineering']
['1', '2 - ResearchAndEngineering', '3 - Engineering', '2 - ElectricalEngineering']
['1', '2 - ResearchAndEngineering', '3 - Engineering', '3 - MaterialsEngineering']
['1', '2 - ResearchAndEngineering', '3 - Engineering', '4 - SystemsEngineering']
['1', '2 - ResearchAndEngineering', '3 - Engineering', '5 - TestAndEvalualtion']
['1', '2 - ResearchAndEngineering', '3 - Engineering', '6 - SystemsEngineering']
['1', '2 - ResearchAndEngineering', '3 - Engineering', '7 - TestAndEvalualtion']
['1', '3 - Manufacturing', '', '']
['1', '3 - Manufacturing', '1 - IndustrialEngineering', '']
['1', '3 - Manufacturing', '2 - ManufacturingEngineering', '']
['1', '3 - Manufacturing', '3 - Assembly', '']
['1', '3 - Manufacturing', '3 - Assembly', '1 - AssemblyDept']
['1', '3 - Manufacturing', '3 - Assembly', '2 - AssemblyDept']
['1', '3 - Manufacturing', '3 - Assembly', '3 - AssemblyDept']
['1', '3 - Manufacturing', '3 - Assembly', '4 - AssemblyDept']
['1', '3 - Manufacturing', '3 - Assembly', '5 - AssemblyDept']
['1', '3 - Manufacturing', '3 - Assembly', '6 - AssemblyDept']
['1', '3 - Manufacturing', '4 - QualityControl', '']
['1', '4 - Finance', '', '']
['1', '4 - Finance', '1 - Accounting', '']
['1', '4 - Finance', '2 - Payroll', '']
['1', '4 - Finance', '3 - FinancialPlanning', '']
['1', '5 - SalesAndMarketing', '', '']
['1', '5 - SalesAndMarketing', '1 - MarketAnalysis', '']
['1', '5 - SalesAndMarketing', '2 - Sales', '']
['1', '5 - SalesAndMarketing', '2 - Sales', '1 - RegionalSales']
['1', '5 - SalesAndMarketing', '2 - Sales', '2 - RegionalSales']
['1', '5 - SalesAndMarketing', '2 - Sales', '3 - RegionalSales']
['1', '5 - SalesAndMarketing', '2 - Sales', '4 - RegionalSales']
['1', '5 - SalesAndMarketing', '2 - Sales', '5 - RegionalSales']
['1', '5 - SalesAndMarketing', '3 - FieldService', '']
['1', '5 - SalesAndMarketing', '3 - FieldService', '1 - RegionalFieldService']
['1', '5 - SalesAndMarketing', '3 - FieldService', '2 - RegionalFieldService']
['1', '5 - SalesAndMarketing', '3 - FieldService', '3 - RegionalFieldService']
['1', '5 - SalesAndMarketing', '3 - FieldService', '4 - RegionalFieldService']
['1', '5 - SalesAndMarketing', '3 - FieldService', '5 - RegionalFieldService']
['1', '6 - PurchasingAndContracts', '', '']
['1', '6 - PurchasingAndContracts', '1 - Purchasing', '']
['1', '6 - PurchasingAndContracts', '2 - Pricing', '']
['1', '6 - PurchasingAndContracts', '3 - Contracts', '']
