user_id, o, c, e, a, n, cpb-i, cpb-o, dis_ocean, dis_os, email_ratio, cnt_send, cnt_s_size, cnt_s_attach, cnt_s_days
CEL0561,40.0,39.0,36.0,19.0,40.0,-7.81,-20.47,45.6043474837,46.0,21.0,658953.0,24.0,16.0,
JFC0557,22.0,16.0,23.0,40.0,33.0,-12.69,-16.19,69.9661675056,54.0,23.0,746090.0,25.0,18.0,
ASD0577,40.0,48.0,36.0,14.0,37.0,-7.82,-23.79,46.5080638169,30.0,1.0,41201.0,0.0,1.0,
MAR0955,36.0,44.0,23.0,44.0,25.0,-25.01,-37.41,0.0,0.0,0.0,0.0,0.0,0.0,
GRM0868,21.0,25.0,20.0,13.0,28.0,-4.17,-10.82,13.7113092008,30.0,47.0,1354649.0,0.0,35.0,
AAL0706,37.0,14.0,28.0,13.0,25.0,-5.93,-12.35,71.6186162884,32.0,2.0,85110.0,0.0,2.0,
RVC0232,34.0,20.0,47.0,38.0,25.0,-11.99,-26.77,82.4465073142,48.0,3.0,80325.0,1.0,3.0,
TCD0009,44.0,28.0,44.0,38.0,23.0,-17.5,-33.37,78.8533715185,48.0,4.0,96864.0,1.0,4.0,
ASM0575,42.0,25.0,21.0,45.0,30.0,-23.5,-28.37,0.0,0.0,0.0,0.0,0.0,0.0,
JLM0364,35.0,22.0,15.0,25.0,37.0,-12.14,-13.09,56.5330926627,46.0,53.0,1589110.0,24.0,38.0,
FOB0756,42.0,41.0,34.0,20.0,27.0,-12.78,-28.13,0.0,0.0,0.0,0.0,0.0,0.0,
GCG0951,33.0,33.0,25.0,19.0,44.0,-6.54,-12.88,0.0,0.0,0.0,0.0,0.0,0.0,
HWY0038,47.0,39.0,40.0,22.0,24.0,-14.04,-31.45,45.2397317915,32.0,2.0,81051.0,0.0,2.0,
AAV0450,44.0,24.0,36.0,41.0,33.0,-17.75,-27.18,92.8665040313,76.0,5.0,128810.0,6.0,5.0,
CJV0286,18.0,14.0,17.0,13.0,26.0,-2.74,-5.81,48.6374752975,46.0,8.0,241845.0,2.0,8.0,
TDG0962,42.0,40.0,36.0,26.0,21.0,-16.14,-33.21,0.0,0.0,0.0,0.0,0.0,0.0,
SVL0803,27.0,35.0,20.0,36.0,32.0,-16.5,-24.27,0.0,0.0,0.0,0.0,0.0,0.0,
QOS0878,18.0,12.0,20.0,16.0,29.0,-2.24,-5.11,143.417221106,122.0,1062.0,31813006.0,723.0,118.0,
MDM0625,18.0,42.0,36.0,27.0,24.0,-8.97,-27.09,181.419934953,156.0,95.0,2856206.0,27.0,56.0,
GMF0738,30.0,40.0,45.0,20.0,18.0,-8.43,-30.24,169.037523648,138.0,133.0,4002533.0,0.0,70.0,
BER0314,23.0,20.0,18.0,19.0,32.0,-6.09,-9.46,36.9594372252,24.0,1.0,14100.0,0.0,1.0,
AMR0400,19.0,16.0,47.0,28.0,28.0,-1.83,-15.75,84.3330489154,44.0,2.0,67192.0,0.0,2.0,
YCE0983,39.0,21.0,42.0,30.0,36.0,-8.82,-19.41,29.8663690461,16.0,1.0,30506.0,4.0,1.0,
BJW0619,30.0,43.0,47.0,21.0,39.0,-3.8,-22.34,77.3423945496,60.0,57.0,1619289.0,27.0,35.0,
DPS0262,20.0,25.0,20.0,14.0,32.0,-3.34,-9.1,0.0,0.0,0.0,0.0,0.0,0.0,
TYB0779,24.0,20.0,35.0,36.0,34.0,-8.97,-17.78,0.0,0.0,0.0,0.0,0.0,0.0,
MAS0025,23.0,14.0,20.0,21.0,23.0,-7.65,-12.11,112.185649404,48.0,3.0,58236.0,0.0,3.0,
KBL0260,16.0,15.0,48.0,16.0,32.0,5.6,-7.88,0.0,0.0,0.0,0.0,0.0,0.0,
GHL0460,21.0,37.0,24.0,17.0,35.0,-5.13,-14.93,24.3721152139,30.0,2.0,59663.0,2.0,2.0,
FMG0527,43.0,38.0,35.0,38.0,28.0,-19.85,-34.09,85.0861133971,62.0,8.0,198136.0,12.0,7.0,
HCL0651,21.0,19.0,44.0,36.0,33.0,-5.9,-18.14,32.2180073872,30.0,7.0,243340.0,15.0,7.0,
SCP0130,42.0,18.0,35.0,32.0,24.0,-14.73,-24.46,0.0,0.0,0.0,0.0,0.0,0.0,
CMW0783,21.0,35.0,14.0,16.0,26.0,-9.04,-16.67,29.7657521323,16.0,1.0,44145.0,0.0,1.0,
RKF0164,40.0,42.0,17.0,18.0,42.0,-12.13,-18.16,39.686269666,16.0,1.0,26269.0,1.0,1.0,
DOL0332,32.0,40.0,41.0,18.0,24.0,-7.73,-26.62,39.9004442705,48.0,2.0,84400.0,4.0,2.0,
RSC0089,41.0,26.0,35.0,21.0,29.0,-9.78,-20.87,67.0055374016,48.0,3.0,115861.0,10.0,3.0,
