04/01/2010 00:08:34,MNS0224,PC-5082,Logon,
04/01/2010 00:11:52,BBS0039,PC-6232,Logon,
04/01/2010 00:20:07,MNS0224,PC-5082,Logoff,
04/01/2010 00:25:24,BBS0039,PC-6232,Logoff,
04/01/2010 00:34:54,MOS0047,PC-0982,Logon,
04/01/2010 00:48:15,MPM0220,PC-9261,Logon,
04/01/2010 00:48:30,MOS0047,PC-0982,Logoff,
04/01/2010 00:49:26,KRV0372,PC-3020,Logon,
04/01/2010 00:52:58,RSC0089,PC-9929,Logoff,
04/01/2010 00:57:35,KRV0372,PC-3020,Logoff,
04/01/2010 00:58:03,UIR0043,PC-4600,Logon,
04/01/2010 00:59:16,MPM0220,PC-9261,Logoff,
04/01/2010 01:04:14,UIR0043,PC-4600,Logoff,
04/01/2010 01:43:31,JDF0593,PC-6301,Logon,
04/01/2010 01:46:30,MPM0220,PC-2804,Logon,
04/01/2010 01:56:59,MPM0220,PC-2804,Logoff,
04/01/2010 02:05:11,KRV0372,PC-6105,Logon,
04/01/2010 02:06:29,KRV0372,PC-6105,Logoff,
04/01/2010 02:14:06,LBF0214,PC-3819,Logon,
04/01/2010 02:14:50,JAJ0849,PC-9819,Logoff,
04/01/2010 02:26:37,HDS0367,PC-6694,Logon,
04/01/2010 02:27:34,GTD0219,PC-1108,Logon,
04/01/2010 02:30:21,HDS0367,PC-6694,Logoff,
04/01/2010 02:34:04,JAV0361,PC-7470,Logon,
04/01/2010 02:34:35,MVH0373,PC-1837,Logon,
04/01/2010 02:43:16,JAV0361,PC-7470,Logoff,
04/01/2010 02:44:39,JGT0221,PC-9850,Logon,
04/01/2010 02:45:11,GTD0219,PC-1108,Logoff,
04/01/2010 02:49:27,JGT0221,PC-9850,Logoff,
04/01/2010 02:51:54,MVH0373,PC-1837,Logoff,
04/01/2010 03:03:21,MSH0040,PC-4551,Logon,
04/01/2010 03:10:52,MSH0040,PC-4551,Logoff,
04/01/2010 03:22:53,SAK0375,PC-1476,Logon,
04/01/2010 03:23:57,SAK0375,PC-1476,Logoff,
04/01/2010 03:40:37,DMG0358,PC-0902,Logon,
04/01/2010 03:49:09,BJM0111,PC-6866,Logon,
04/01/2010 03:50:42,LBC0356,PC-9711,Logon,
