user_id, o, c, e, a, n, cpb-i, cpb-o, dis_ocean, avg_dis_ocean, dis_os, avg_dis_os,cnt_send, cnt_s_size, cnt_s_attach, cnt_s_days
CEL0561,40.0,39.0,36.0,19.0,40.0,-7.81,-20.47,0.623014639859,0.31150731993,0.286702672782,0.143351336391,21.0,658953.0,24.0,16.0,
JFC0557,22.0,16.0,23.0,40.0,33.0,-12.69,-16.19,0.551025513595,0.275512756797,0.30438175398,0.15219087699,23.0,746090.0,25.0,18.0,
ASD0577,40.0,48.0,36.0,14.0,37.0,-7.82,-23.79,0.256645253915,0.256645253915,0.286702672782,0.286702672782,1.0,41201.0,0.0,1.0,
MAR0955,36.0,44.0,23.0,44.0,25.0,-25.01,-37.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GRM0868,21.0,25.0,20.0,13.0,28.0,-4.17,-10.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AAL0706,37.0,14.0,28.0,13.0,25.0,-5.93,-12.35,0.273020702525,0.273020702525,0.341355100343,0.341355100343,1.0,31054.0,0.0,1.0,
RVC0232,34.0,20.0,47.0,38.0,25.0,-11.99,-26.77,0.274873766011,0.274873766011,0.341355100343,0.341355100343,1.0,38033.0,1.0,1.0,
TCD0009,44.0,28.0,44.0,38.0,23.0,-17.5,-33.37,0.279536024972,0.279536024972,0.341355100343,0.341355100343,1.0,28091.0,0.0,1.0,
ASM0575,42.0,25.0,21.0,45.0,30.0,-23.5,-28.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JLM0364,35.0,22.0,15.0,25.0,37.0,-12.14,-13.09,0.33781753094,0.33781753094,0.286702672782,0.286702672782,52.0,1566653.0,24.0,37.0,
FOB0756,42.0,41.0,34.0,20.0,27.0,-12.78,-28.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GCG0951,33.0,33.0,25.0,19.0,44.0,-6.54,-12.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HWY0038,47.0,39.0,40.0,22.0,24.0,-14.04,-31.45,0.663913176781,0.33195658839,0.341355100343,0.170677550172,2.0,81051.0,0.0,2.0,
AAV0450,44.0,24.0,36.0,41.0,33.0,-17.75,-27.18,0.608401993421,0.304200996711,0.286702672782,0.143351336391,4.0,86241.0,4.0,4.0,
CJV0286,18.0,14.0,17.0,13.0,26.0,-2.74,-5.81,0.2615047792,0.2615047792,0.286702672782,0.286702672782,7.0,224451.0,2.0,7.0,
TDG0962,42.0,40.0,36.0,26.0,21.0,-16.14,-33.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
SVL0803,27.0,35.0,20.0,36.0,32.0,-16.5,-24.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QOS0878,18.0,12.0,20.0,16.0,29.0,-2.24,-5.11,1.26787096111,0.316967740278,0.341355100343,0.0853387750858,4.0,118342.0,6.0,4.0,
MDM0625,18.0,42.0,36.0,27.0,24.0,-8.97,-27.09,0.838731542719,0.279577180906,0.286702672782,0.0955675575939,91.0,2726181.0,27.0,52.0,
GMF0738,30.0,40.0,45.0,20.0,18.0,-8.43,-30.24,1.1764164228,0.2941041057,0.341355100343,0.0853387750858,19.0,606985.0,0.0,14.0,
BER0314,23.0,20.0,18.0,19.0,32.0,-6.09,-9.46,0.271680822619,0.271680822619,0.30438175398,0.30438175398,1.0,14100.0,0.0,1.0,
AMR0400,19.0,16.0,47.0,28.0,28.0,-1.83,-15.75,0.526802880134,0.263401440067,0.341355100343,0.170677550172,2.0,67192.0,0.0,2.0,
YCE0983,39.0,21.0,42.0,30.0,36.0,-8.82,-19.41,0.287039477648,0.287039477648,0.341355100343,0.341355100343,1.0,30506.0,4.0,1.0,
BJW0619,30.0,43.0,47.0,21.0,39.0,-3.8,-22.34,0.537752335839,0.268876167919,0.286702672782,0.143351336391,57.0,1619289.0,27.0,35.0,
DPS0262,20.0,25.0,20.0,14.0,32.0,-3.34,-9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TYB0779,24.0,20.0,35.0,36.0,34.0,-8.97,-17.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MAS0025,23.0,14.0,20.0,21.0,23.0,-7.65,-12.11,0.541891091124,0.270945545562,0.341355100343,0.170677550172,2.0,36614.0,0.0,2.0,
KBL0260,16.0,15.0,48.0,16.0,32.0,5.6,-7.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GHL0460,21.0,37.0,24.0,17.0,35.0,-5.13,-14.93,0.303105683356,0.303105683356,0.286702672782,0.286702672782,2.0,59663.0,2.0,2.0,
FMG0527,43.0,38.0,35.0,38.0,28.0,-19.85,-34.09,0.888454532016,0.296151510672,0.341355100343,0.113785033448,8.0,198136.0,12.0,7.0,
HCL0651,21.0,19.0,44.0,36.0,33.0,-5.9,-18.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
SCP0130,42.0,18.0,35.0,32.0,24.0,-14.73,-24.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CMW0783,21.0,35.0,14.0,16.0,26.0,-9.04,-16.67,0.287294511756,0.287294511756,0.341355100343,0.341355100343,1.0,44145.0,0.0,1.0,
RKF0164,40.0,42.0,17.0,18.0,42.0,-12.13,-18.16,0.26686195959,0.26686195959,0.341355100343,0.341355100343,1.0,26269.0,1.0,1.0,
DOL0332,32.0,40.0,41.0,18.0,24.0,-7.73,-26.62,0.291442377227,0.291442377227,0.30438175398,0.30438175398,1.0,49952.0,0.0,1.0,
RSC0089,41.0,26.0,35.0,21.0,29.0,-9.78,-20.87,0.333753076128,0.333753076128,0.341355100343,0.341355100343,1.0,24625.0,8.0,1.0,
CCM0136,16.0,16.0,39.0,40.0,29.0,-7.85,-18.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
NCH0179,17.0,12.0,40.0,17.0,25.0,1.67,-9.55,0.50299051819,0.251495259095,0.291982910479,0.145991455239,2.0,48354.0,0.0,2.0,
NBH0256,41.0,43.0,14.0,21.0,22.0,-19.43,-29.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ORG0339,50.0,28.0,46.0,47.0,20.0,-23.39,-40.21,0.25107712084,0.25107712084,0.341355100343,0.341355100343,1.0,46915.0,0.0,1.0,
FRR0832,43.0,40.0,25.0,19.0,30.0,-14.02,-25.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MSD0939,24.0,37.0,15.0,42.0,31.0,-19.99,-26.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
OQH0183,34.0,38.0,18.0,33.0,23.0,-20.45,-30.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BSH0445,38.0,22.0,30.0,15.0,21.0,-8.83,-19.06,0.2989246245,0.2989246245,0.286702672782,0.286702672782,25.0,730225.0,15.0,20.0,
KSP0357,41.0,40.0,29.0,19.0,24.0,-13.86,-27.84,0.307400770576,0.307400770576,0.286702672782,0.286702672782,53.0,1556592.0,14.0,38.0,
NGO0690,43.0,41.0,41.0,17.0,24.0,-10.76,-29.4,1.30302300327,0.325755750816,0.341355100343,0.0853387750858,26.0,821460.0,18.0,21.0,
VCC0396,21.0,45.0,16.0,37.0,23.0,-19.89,-31.33,0.931146623806,0.310382207935,0.341355100343,0.113785033448,3.0,84158.0,2.0,3.0,
WDD0366,43.0,42.0,17.0,19.0,28.0,-16.82,-25.9,0.857317879298,0.285772626433,0.286702672782,0.0955675575939,33.0,1047439.0,32.0,27.0,
KPP0452,44.0,46.0,44.0,16.0,19.0,-11.88,-34.15,0.558950199866,0.279475099933,0.286702672782,0.143351336391,3.0,75370.0,3.0,3.0,
RTO0313,44.0,45.0,25.0,17.0,27.0,-14.98,-28.08,0.28750865694,0.28750865694,0.341355100343,0.341355100343,1.0,26878.0,0.0,1.0,
