user_id,O_Score,C_Score,E_Score,A_Score,N_Score,Team_CPB-I-mean,Team_CPB-O-mean,Users-less-mean-A,Users-less-mean-A and C,Users-less-mean-C,Users-High-mean-N,Team_CPB-I-median,Team_CPB-O-median,No-JobState-in-Team,Dpt-CPB-I-mean,Dpt_CPB-O-mean,Dpt-Less-A-mean,Dpt-Less-AC-mean,Dpt-less-C-mean,Dpt-High-N-mean,Dpt_CPB-I-median,Dpt_CPB-O-median,No-JobState-in-Dpt,Job State,Leader_CPB-I,Leader_CPB-O
CEL0561,40.0,39.0,36.0,19.0,40.0,-14.0682666667,-17.6715733333,10,5,8,13,-10.164,-15.5796,0,-15.5598811881,-19.3514574257,56,27,45,57,-17.424,-18.3136,0,-1,-10.164,-9.8596,
CRD0624,26.0,22.0,17.0,39.0,32.0,-15.5686666667,-20.0184666667,15,8,14,12,-16.94,-20.506,0,-14.8097834395,-19.2750980892,85,46,74,77,-16.456,-18.0184,0,-1,-7.744,-24.2016,
JFC0557,22.0,16.0,23.0,40.0,33.0,-14.8104,-17.1698933333,11,5,7,13,-18.876,-17.1964,0,-15.5598811881,-19.3514574257,56,27,45,57,-17.424,-18.3136,0,-1,-10.164,-9.8596,
ASD0577,40.0,48.0,36.0,14.0,37.0,-13.9876,-22.30964,10,5,16,18,-12.342,-23.7838,0,-14.2419574468,-19.8823574468,92,52,98,96,-14.278,-19.9542,0,-1,-7.744,-13.8016,
MAR0955,36.0,44.0,23.0,44.0,25.0,-12.5356,-17.44684,21,15,21,11,-11.374,-14.9086,0,-14.2419574468,-19.8823574468,92,52,98,96,-14.278,-19.9542,0,-1,-7.744,-12.2416,
GRM0868,21.0,25.0,20.0,13.0,28.0,-15.0524,-19.1850266667,15,9,13,15,-16.698,-20.4322,0,-14.8097834395,-19.2750980892,85,46,74,77,-16.456,-18.0184,0,-1,-18.876,-10.9564,
AAL0706,37.0,14.0,28.0,13.0,25.0,-13.8746666667,-17.5432,19,10,16,18,-13.31,-16.539,0,-14.2419574468,-19.8823574468,92,52,98,96,-14.278,-19.9542,0,-1,-23.716,-12.9524,
RVC0232,34.0,20.0,47.0,38.0,25.0,-15.2298666667,-18.4071466667,9,5,6,7,-17.424,-17.2736,0,-14.8458613861,-19.5352950495,52,28,43,48,-16.94,-19.206,0,-1,-19.844,-25.8116,
TCD0009,44.0,28.0,44.0,38.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-13.552,-11.9328,
ASM0575,42.0,25.0,21.0,45.0,30.0,-14.3586666667,-21.8854666667,11,5,15,18,-14.762,-24.2618,0,-14.2419574468,-19.8823574468,92,52,98,96,-14.278,-19.9542,0,-1,-7.744,-13.8016,
DAR0885,43.0,43.0,44.0,41.0,25.0,-12.7292,-18.5632133333,17,11,20,13,-10.648,-17.0272,0,-14.0236687898,-19.3500152866,77,45,84,70,-13.068,-19.5852,0,-1,-8.712,-21.3768,
JLM0364,35.0,22.0,15.0,25.0,37.0,-16.1898,-19.23722,11,5,7,12,-17.424,-17.2736,0,-15.488,-19.8985333333,32,14,24,33,-17.666,-19.4274,0,-1,-21.296,-25.2144,
FOB0756,42.0,41.0,34.0,20.0,27.0,-14.9072,-19.2447466667,14,6,14,20,-16.698,-20.6922,0,-14.0236687898,-19.3500152866,77,45,84,70,-13.068,-19.5852,0,-1,-10.164,-9.3396,
GCG0951,33.0,33.0,25.0,19.0,44.0,-12.7130666667,-17.9342933333,20,15,21,10,-11.374,-15.1686,0,-14.2419574468,-19.8823574468,92,52,98,96,-14.278,-19.9542,0,-1,-7.744,-12.2416,
HWY0038,47.0,39.0,40.0,22.0,24.0,-14.8588,-20.93732,9,3,9,12,-17.424,-21.9536,0,-15.488,-19.8985333333,32,14,24,33,-17.666,-19.4274,0,-1,-11.616,-22.7824,
AAV0450,44.0,24.0,36.0,41.0,33.0,-15.1169333333,-21.19804,12,5,12,14,-17.908,-21.8412,0,-14.2419574468,-19.8823574468,92,52,98,96,-14.278,-19.9542,0,-1,-21.78,-19.642,
CJV0286,18.0,14.0,17.0,13.0,26.0,-16.7222,-20.56958,10,4,6,7,-17.182,-20.0598,0,-15.8219224806,-19.5382108527,73,31,49,58,-17.424,-18.3136,0,-1,-9.196,-13.7244,
TDG0962,42.0,40.0,36.0,26.0,21.0,-12.6001333333,-17.77852,20,15,21,11,-11.374,-14.9086,0,-14.2419574468,-19.8823574468,92,52,98,96,-14.278,-19.9542,0,-1,-7.744,-12.2416,
SVL0803,27.0,35.0,20.0,36.0,32.0,-15.0685333333,-22.7259466667,4,1,5,8,-17.908,-25.2212,0,-14.8458613861,-19.5352950495,52,28,43,48,-16.94,-19.206,0,-1,-8.228,-25.3892,
QOS0878,18.0,12.0,20.0,16.0,29.0,-15.2621333333,-19.1969866667,15,9,13,15,-16.698,-20.4322,0,-14.8097834395,-19.2750980892,85,46,74,77,-16.456,-18.0184,0,-1,-18.876,-10.9564,
MDM0625,18.0,42.0,36.0,27.0,24.0,-15.246,-20.1280666667,14,8,15,13,-15.73,-22.477,0,-14.8097834395,-19.2750980892,85,46,74,77,-16.456,-18.0184,0,-1,-7.744,-24.2016,
GMF0738,30.0,40.0,45.0,20.0,18.0,-14.0844,-20.8138266667,13,6,15,14,-15.73,-21.437,0,-14.8097834395,-19.2750980892,85,46,74,77,-16.456,-18.0184,0,-1,-9.196,-15.2844,
BER0314,23.0,20.0,18.0,19.0,32.0,-14.6168,-17.9601866667,20,10,13,17,-16.456,-16.9784,0,-14.8097834395,-19.2750980892,85,46,74,77,-16.456,-18.0184,0,-1,-7.744,-11.2016,
AMR0400,19.0,16.0,47.0,28.0,28.0,-16.1102857143,-19.7329714286,7,4,7,5,-17.424,-21.1736,0,-15.5598811881,-19.3514574257,56,27,45,57,-17.424,-18.3136,0,-1,-10.164,-26.4996,
YCE0983,39.0,21.0,42.0,30.0,36.0,0,0,0,0,0,0,0,0,0,-14.52,-21.0102222222,4,2,4,4,-17.424,-20.9136,0,-1,-21.296,-29.8944,
BJW0619,30.0,43.0,47.0,21.0,39.0,-15.2298666667,-20.2271466667,14,8,15,12,-15.73,-22.477,0,-14.8097834395,-19.2750980892,85,46,74,77,-16.456,-18.0184,0,-1,-7.744,-24.2016,
DPS0262,20.0,25.0,20.0,14.0,32.0,-13.6165333333,-18.08848,9,6,8,5,-12.584,-16.3176,0,-15.8219224806,-19.5382108527,73,31,49,58,-17.424,-18.3136,0,-1,-7.744,-14.8416,
TYB0779,24.0,20.0,35.0,36.0,34.0,-15.246,-19.0707333333,15,6,13,19,-16.94,-19.986,0,-14.0236687898,-19.3500152866,77,45,84,70,-13.068,-19.5852,0,-1,-10.164,-9.3396,
MAS0025,23.0,14.0,20.0,21.0,23.0,0,0,0,0,0,0,0,0,0,-14.52,-21.0102222222,4,2,4,4,-17.424,-20.9136,0,-1,-21.296,-29.8944,
KBL0260,16.0,15.0,48.0,16.0,32.0,-13.9392,-18.1175466667,9,6,8,5,-12.584,-16.3176,0,-15.8219224806,-19.5382108527,73,31,49,58,-17.424,-18.3136,0,-1,-7.744,-14.8416,
GHL0460,21.0,37.0,24.0,17.0,35.0,-14.9072,-21.55008,11,5,13,14,-16.698,-23.0322,0,-14.2419574468,-19.8823574468,92,52,98,96,-14.278,-19.9542,0,-1,-21.78,-19.642,
FMG0527,43.0,38.0,35.0,38.0,28.0,-14.3748,-20.55572,13,10,16,13,-13.552,-21.0328,0,-14.0236687898,-19.3500152866,77,45,84,70,-13.068,-19.5852,0,-1,-10.164,-12.9796,
HCL0651,21.0,19.0,44.0,36.0,33.0,-13.3261333333,-19.0052533333,14,9,16,10,-11.858,-18.9562,0,-14.0236687898,-19.3500152866,77,45,84,70,-13.068,-19.5852,0,-1,-18.392,-26.4088,
SCP0130,42.0,18.0,35.0,32.0,24.0,-14.8265333333,-20.1561466667,13,6,15,16,-15.972,-22.8108,0,-14.2419574468,-19.8823574468,92,52,98,96,-14.278,-19.9542,0,-1,-8.228,-21.7492,
CMW0783,21.0,35.0,14.0,16.0,26.0,-15.004,-19.3436,14,6,14,20,-16.698,-20.6922,0,-14.0236687898,-19.3500152866,77,45,84,70,-13.068,-19.5852,0,-1,-10.164,-9.3396,
RKF0164,40.0,42.0,17.0,18.0,42.0,0,0,0,0,0,0,0,0,0,-18.15,-22.565,1,0,0,2,-17.666,-24.6274,0,-1,-17.908,-25.2212,
DOL0332,32.0,40.0,41.0,18.0,24.0,-14.4554666667,-18.9856533333,16,8,15,11,-15.73,-18.577,0,-14.0236687898,-19.3500152866,77,45,84,70,-13.068,-19.5852,0,-1,-8.228,-16.0292,
RSC0089,41.0,26.0,35.0,21.0,29.0,-13.5842666667,-17.8359733333,9,6,8,6,-12.1,-16.17,0,-15.8219224806,-19.5382108527,73,31,49,58,-17.424,-18.3136,0,-1,-7.744,-14.8416,
CCM0136,16.0,16.0,39.0,40.0,29.0,-14.8588,-20.02732,13,6,15,16,-15.972,-21.7708,0,-14.2419574468,-19.8823574468,92,52,98,96,-14.278,-19.9542,0,-1,-8.712,-19.2968,
NCH0179,17.0,12.0,40.0,17.0,25.0,-14.9072,-19.1407466667,16,7,14,11,-16.94,-18.946,0,-14.0236687898,-19.3500152866,77,45,84,70,-13.068,-19.5852,0,-1,-8.228,-16.0292,
NBH0256,41.0,43.0,14.0,21.0,22.0,-13.0357333333,-17.6686933333,9,7,9,6,-12.1,-16.17,0,-15.8219224806,-19.5382108527,73,31,49,58,-17.424,-18.3136,0,-1,-7.744,-14.8416,
ORG0339,50.0,28.0,46.0,47.0,20.0,-14.6490666667,-18.5420266667,17,8,14,11,-16.94,-18.686,0,-14.0236687898,-19.3500152866,77,45,84,70,-13.068,-19.5852,0,-1,-8.228,-16.0292,
FRR0832,43.0,40.0,25.0,19.0,30.0,-15.4396,-20.8111066667,14,10,13,15,-15.972,-22.8108,0,-14.2419574468,-19.8823574468,92,52,98,96,-14.278,-19.9542,0,-1,-8.712,-21.3768,
MSD0939,24.0,37.0,15.0,42.0,31.0,-15.8752,-19.8519466667,7,4,8,8,-14.52,-20.028,0,-15.5598811881,-19.3514574257,56,27,45,57,-17.424,-18.3136,0,-1,-20.812,-17.7868,
OQH0183,34.0,38.0,18.0,33.0,23.0,-14.4877333333,-18.7354933333,17,8,15,11,-15.73,-18.317,0,-14.0236687898,-19.3500152866,77,45,84,70,-13.068,-19.5852,0,-1,-8.228,-16.0292,
BSH0445,38.0,22.0,30.0,15.0,21.0,-15.0766,-20.24974,11,6,9,9,-17.182,-19.5398,0,-15.8219224806,-19.5382108527,73,31,49,58,-17.424,-18.3136,0,-1,-10.648,-11.0472,
KSP0357,41.0,40.0,29.0,19.0,24.0,-15.7542,-19.26038,11,6,8,13,-16.214,-17.9446,0,-15.488,-19.8985333333,32,14,24,33,-17.666,-19.4274,0,-1,-21.296,-25.2144,
NGO0690,43.0,41.0,41.0,17.0,24.0,-15.488,-18.4858666667,9,4,7,9,-17.908,-17.4212,0,-15.5598811881,-19.3514574257,56,27,45,57,-17.424,-18.3136,0,-1,-7.744,-12.7616,
VCC0396,21.0,45.0,16.0,37.0,23.0,-15.1077142857,-19.0929428571,8,5,8,5,-13.068,-18.5452,0,-15.5598811881,-19.3514574257,56,27,45,57,-17.424,-18.3136,0,-1,-10.164,-26.4996,
WDD0366,43.0,42.0,17.0,19.0,28.0,-15.7058,-19.24562,11,6,8,13,-16.214,-17.9446,0,-15.488,-19.8985333333,32,14,24,33,-17.666,-19.4274,0,-1,-21.296,-25.2144,
KPP0452,44.0,46.0,44.0,16.0,19.0,-14.762,-21.5231333333,11,5,13,15,-16.698,-23.0322,0,-14.2419574468,-19.8823574468,92,52,98,96,-14.278,-19.9542,0,-1,-21.78,-19.642,
RTO0313,44.0,45.0,25.0,17.0,27.0,-14.2134666667,-17.8718533333,20,11,14,18,-15.73,-16.757,0,-14.8097834395,-19.2750980892,85,46,74,77,-16.456,-18.0184,0,-1,-7.744,-11.2016,
ABM0845,45.0,21.0,35.0,50.0,29.0,-15.7461333333,-20.3672533333,15,10,12,16,-16.698,-20.9522,0,-14.2419574468,-19.8823574468,92,52,98,96,-14.278,-19.9542,0,-1,-8.712,-21.3768,
VIA0063,40.0,34.0,19.0,50.0,33.0,-15.4557333333,-20.6600266667,7,4,6,8,-16.94,-23.886,0,-15.5598811881,-19.3514574257,56,27,45,57,-17.424,-18.3136,0,-1,-18.392,-21.2088,
BIH0745,43.0,39.0,50.0,27.0,25.0,-14.1005333333,-20.6974133333,13,6,15,14,-15.73,-21.437,0,-14.8097834395,-19.2750980892,85,46,74,77,-16.456,-18.0184,0,-1,-9.196,-15.2844,
CCW0031,33.0,47.0,30.0,39.0,33.0,-15.9074666667,-19.30712,9,4,5,6,-17.908,-17.4212,0,-15.488,-19.8985333333,32,14,24,33,-17.666,-19.4274,0,-1,-8.712,-26.5768,
IYB0918,17.0,21.0,42.0,14.0,30.0,-15.6170666667,-19.7038933333,8,4,6,7,-17.424,-17.7936,0,-14.8458613861,-19.5352950495,52,28,43,48,-16.94,-19.206,0,-1,-20.812,-26.1068,
ORM0669,44.0,39.0,28.0,39.0,36.0,-16.3592,-21.00488,6,2,4,8,-18.876,-23.9564,0,-14.8458613861,-19.5352950495,52,28,43,48,-16.94,-19.206,0,-1,-8.228,-10.3092,
MJB0588,39.0,24.0,15.0,47.0,38.0,-14.3748,-21.85572,11,5,15,18,-14.762,-24.2618,0,-14.2419574468,-19.8823574468,92,52,98,96,-14.278,-19.9542,0,-1,-7.744,-13.8016,
ALB0892,25.0,19.0,44.0,22.0,30.0,-13.1164,-19.0106266667,16,10,19,12,-11.616,-17.8424,0,-14.0236687898,-19.3500152866,77,45,84,70,-13.068,-19.5852,0,-1,-8.712,-21.3768,
LIM0674,18.0,13.0,35.0,49.0,20.0,-17.1981333333,-20.9140533333,6,2,3,9,-18.876,-23.9564,0,-14.8458613861,-19.5352950495,52,28,43,48,-16.94,-19.206,0,-1,-8.228,-10.3092,
LHN0151,13.0,15.0,19.0,32.0,26.0,0,0,0,0,0,0,0,0,0,-10.769,-16.8041,3,2,3,3,-8.47,-16.363,0,-1,-9.68,-12.832,
WTR0563,47.0,45.0,46.0,15.0,31.0,-13.8746666667,-17.7512,10,5,8,13,-10.164,-15.5796,0,-15.5598811881,-19.3514574257,56,27,45,57,-17.424,-18.3136,0,-1,-10.164,-9.8596,
