HJS0072,2010-02-03,
ANM0123,2010-02-05,
DAR0885,2010-02-08,
MTT0901,2010-02-11,
DGM0754,2010-02-11,
MBW0809,2010-02-12,
LDD0560,2010-02-17,
EAH0466,2010-02-19,
EDA0684,2010-02-19,
BQS0525,2010-02-19,
LPH0572,2010-02-23,
CRD0624,2010-03-05,
AAS0442,2010-03-12,
HMM0108,2010-03-19,
JRH0455,2010-03-19,
CAC0889,2010-03-26,
CFW0264,2010-03-26,
RRC0553,2010-04-01,
MVH0373,2010-04-06,
LHB0606,2010-04-28,
QOS0878,2010-05-06,
HRD0635,2010-05-10,
BRS0734,2010-05-12,
MAD0496,2010-05-14,
OLB0749,2010-05-20,
CYA0506,2010-06-01,
HWY0038,2010-06-04,
BVN0514,2010-06-08,
DPS0262,2010-06-09,
CSC0217,2010-06-11,
GTD0219,2010-06-18,
BMS0877,2010-06-30,
JGT0221,2010-07-16,
MCD0125,2010-07-19,
EGD0409,2010-07-21,
LOM0086,2010-07-23,
JTM0223,2010-07-23,
BIH0745,2010-07-27,
SAP0867,2010-07-29,
KPC0073,2010-08-03,
RKD0604,2010-08-04,
JMB0308,2010-08-09,
PNL0301,2010-08-12,
BBS0039,2010-08-13,
LCC0819,2010-08-13,
AHG0634,2010-08-16,
EHB0824,2010-08-17,
RMW0542,2010-08-19,
DIB0081,2010-08-20,
AAF0535,2010-08-24,
BDV0168,2010-08-25,
LJR0523,2010-08-26,
ESR0693,2010-08-31,
IJM0776,2010-09-02,
RAR0725,2010-09-02,
CAH0936,2010-09-03,
SLT0907,2010-09-07,
WRM0963,2010-09-08,
ALB0892,2010-09-10,
RHL0992,2010-09-10,
MOS0047,2010-09-10,
SEJ0677,2010-09-10,
DIB0285,2010-09-22,
IAT0263,2010-09-24,
EGD0132,2010-09-29,
PSF0133,2010-09-30,
BSS0369,2010-10-04,
AJR0932,2010-10-07,
XHW0498,2010-10-07,
FFC0891,2010-10-08,
RAB0589,2010-10-08,
SSR0278,2010-10-08,
LQC0479,2010-10-11,
MAS0025,2010-10-15,
BLS0678,2010-10-15,
CCA0046,2010-10-15,
MCF0600,2010-10-16,
EHD0584,2010-10-28,
ECF0828,2010-10-29,
JJM0203,2010-10-29,
HXL0968,2010-10-29,
ARB0834,2010-10-29,
BTL0226,2010-11-02,
VSS0154,2010-11-03,
MPM0220,2010-11-05,
RGG0064,2010-11-15,
AAM0658,2010-11-17,
TAP0551,2010-11-18,
SOB0360,2010-11-19,
JMH0543,2010-11-23,
GHL0460,2010-11-24,
CIM0926,2010-11-24,
PGH0184,2010-11-24,
AKR0057,2010-11-30,
MHH0180,2010-12-02,
IUB0565,2010-12-03,
MBG0438,2010-12-06,
KSP0357,2010-12-08,
BYP0070,2010-12-09,
MSO0222,2010-12-10,
VFM0814,2010-12-13,
TNM0961,2010-12-13,
HJB0742,2010-12-14,
GOK0238,2010-12-14,
EDB0714,2010-12-15,
FTM0406,2010-12-20,
TEM0093,2010-12-22,
ABC0174,2010-12-24,
XWD0923,2010-12-29,
MYD0978,2010-12-30,
ICS0956,2010-12-30,
WAB0143,2011-01-05,
MSH0040,2011-01-06,
HFB0347,2011-01-06,
DRR0162,2011-01-07,
ENC0234,2011-01-12,
YWW0660,2011-01-14,
COF0120,2011-01-14,
ASB0796,2011-01-20,
KRL0501,2011-01-20,
AOK0844,2011-01-23,
FMG0527,2011-01-27,
YIC0195,2011-02-04,
UCH0519,2011-02-09,
RGH0728,2011-02-11,
BCB0679,2011-02-11,
JRG0207,2011-02-14,
IKR0401,2011-02-21,
CCL0068,2011-02-22,
DCH0843,2011-02-23,
PPF0435,2011-02-24,
KLH0596,2011-02-25,
MAR0955,2011-03-04,
MDH0580,2011-03-04,
VSA0230,2011-03-04,
LUR0896,2011-03-08,
SNC0187,2011-03-10,
KNG0672,2011-03-11,
QCH0110,2011-03-17,
FSC0601,2011-03-18,
NRD0548,2011-03-18,
WDD0366,2011-03-22,
MMB0488,2011-03-24,
CEJ0109,2011-04-05,
NWT0098,2011-04-06,
GBM0603,2011-04-11,
NRO0768,2011-04-11,
HBO0413,2011-04-12,
CQW0652,2011-04-18,
DGN0480,2011-04-20,
HKB0418,2011-04-26,
JLM0364,2011-04-29,
RKF0164,2011-04-29,
FSB0399,2011-04-29,
NAF0033,2011-05-12,
CEL0561,2011-05-16,
JFC0557,2011-05-16,
ASD0577,2011-05-16,
GRM0868,2011-05-16,
AAL0706,2011-05-16,
RVC0232,2011-05-16,
