user_id, o, c, e, a, n, cpb-i, cpb-o, dis_ocean, dis_os, email_ratio, cnt_send, cnt_s_size, cnt_s_attach, cnt_s_days
CEL0561,40.0,39.0,36.0,19.0,40.0,-7.81,-20.47,45.6043474837,46.0,21.0,658953.0,24.0,16.0,
CRD0624,26.0,22.0,17.0,39.0,32.0,-16.16,-19.17,0.0,30.0,385.0,11538612.0,94.0,45.0,
JFC0557,22.0,16.0,23.0,40.0,33.0,-12.69,-16.19,69.9661675056,54.0,23.0,746090.0,25.0,18.0,
ASD0577,40.0,48.0,36.0,14.0,37.0,-7.82,-23.79,46.5080638169,30.0,1.0,41201.0,0.0,1.0,
MAR0955,36.0,44.0,23.0,44.0,25.0,-25.01,-37.41,0.0,0.0,0.0,0.0,0.0,0.0,
GRM0868,21.0,25.0,20.0,13.0,28.0,-4.17,-10.82,0.0,0.0,0.0,0.0,0.0,0.0,
AAL0706,37.0,14.0,28.0,13.0,25.0,-5.93,-12.35,36.2491379208,16.0,1.0,31054.0,0.0,1.0,
RVC0232,34.0,20.0,47.0,38.0,25.0,-11.99,-26.77,35.2987251894,16.0,1.0,38033.0,1.0,1.0,
TCD0009,44.0,28.0,44.0,38.0,23.0,-17.5,-33.37,33.0605505096,16.0,1.0,28091.0,0.0,1.0,
ASM0575,42.0,25.0,21.0,45.0,30.0,-23.5,-28.37,0.0,0.0,0.0,0.0,0.0,0.0,
JLM0364,35.0,22.0,15.0,25.0,37.0,-12.14,-13.09,0.0,0.0,0.0,0.0,0.0,0.0,
FOB0756,42.0,41.0,34.0,20.0,27.0,-12.78,-28.13,0.0,0.0,0.0,0.0,0.0,0.0,
GCG0951,33.0,33.0,25.0,19.0,44.0,-6.54,-12.88,0.0,0.0,0.0,0.0,0.0,0.0,
HWY0038,47.0,39.0,40.0,22.0,24.0,-14.04,-31.45,10.4403065089,16.0,1.0,39294.0,0.0,1.0,
AAV0450,44.0,24.0,36.0,41.0,33.0,-17.75,-27.18,51.4298053211,60.0,4.0,86241.0,4.0,4.0,
