LCE Feats for NOB0181
2010-07-23,JTM0223,1.0,['2010-07-09'],23373.0,0.0
2010-08-12,PNL0301,1.0,['2010-07-20'],32780.0,1.0
2010-09-10,SEJ0677,1.0,['2010-02-04'],29329.0,0.0
2010-09-29,EGD0132,1.0,['2010-08-22'],23204.0,0.0
2010-11-24,PGH0184,30.0,['2010-01-06'; '2010-01-12'; '2010-01-31'; '2010-02-05'; '2010-02-16'; '2010-02-26'; '2010-03-03'; '2010-03-11'; '2010-03-19'; '2010-03-23'; '2010-03-27'; '2010-03-29'; '2010-04-06'; '2010-04-12'; '2010-04-22'; '2010-04-28'; '2010-05-15'; '2010-06-08'; '2010-06-27'; '2010-07-07'; '2010-07-08'; '2010-07-27'; '2010-08-03'; '2010-08-17'; '2010-08-22'; '2010-09-22'; '2010-09-25'; '2010-10-03'; '2010-10-09'; '2010-11-13'],955225.0,27.0
2010-12-02,MHH0180,34.0,['2010-01-08'; '2010-02-04'; '2010-02-09'; '2010-02-25'; '2010-03-30'; '2010-04-13'; '2010-04-14'; '2010-04-26'; '2010-05-03'; '2010-05-23'; '2010-05-26'; '2010-05-27'; '2010-06-01'; '2010-06-02'; '2010-06-15'; '2010-06-16'; '2010-06-24'; '2010-06-26'; '2010-07-06'; '2010-07-19'; '2010-07-22'; '2010-08-02'; '2010-08-23'; '2010-09-13'; '2010-09-19'; '2010-10-02'; '2010-10-05'; '2010-10-08'; '2010-10-17'; '2010-10-26'; '2010-10-31'; '2010-11-17'; '2010-11-18'],929008.0,52.0
2011-01-06,HFB0347,23.0,['2010-01-09'; '2010-01-27'; '2010-01-28'; '2010-02-16'; '2010-03-05'; '2010-03-07'; '2010-03-08'; '2010-04-03'; '2010-04-20'; '2010-04-25'; '2010-05-18'; '2010-05-21'; '2010-06-06'; '2010-06-24'; '2010-07-22'; '2010-07-25'; '2010-08-17'; '2010-08-23'; '2010-09-22'; '2010-10-09'; '2010-11-04'; '2010-11-20'; '2010-11-28'],668749.0,16.0
2011-03-04,MDH0580,1.0,['2010-09-11'],33267.0,0.0
2011-03-10,SNC0187,38.0,['2010-01-02'; '2010-01-13'; '2010-02-04'; '2010-02-12'; '2010-02-25'; '2010-02-26'; '2010-03-10'; '2010-03-14'; '2010-03-19'; '2010-03-27'; '2010-03-29'; '2010-04-13'; '2010-04-15'; '2010-04-17'; '2010-04-27'; '2010-05-03'; '2010-06-02'; '2010-07-03'; '2010-08-02'; '2010-08-09'; '2010-09-19'; '2010-09-20'; '2010-10-02'; '2010-10-09'; '2010-10-16'; '2010-10-26'; '2010-11-08'; '2010-11-22'; '2010-11-30'; '2010-12-10'; '2010-12-12'; '2010-12-25'; '2010-12-30'; '2011-01-01'; '2011-01-02'; '2011-01-08'; '2011-01-22'; '2011-03-07'],1122094.0,47.0
2011-03-22,WDD0366,1.0,['2010-06-11'],35491.0,0.0
2011-04-11,GBM0603,1.0,['2010-01-23'],15538.0,1.0
2011-04-11,NRO0768,1.0,['2010-01-11'],22822.0,2.0
2011-04-18,CQW0652,1.0,['2010-03-24'],63842.0,3.0
2011-04-29,JLM0364,1.0,['2010-07-02'],43680.0,0.0
