user_id, o, c, e, a, n, cpb-i, cpb-o, dis_ocean, avg_dis_ocean, dis_os, avg_dis_os,cnt_send, cnt_s_size, cnt_s_attach, cnt_s_days
CEL0561,40.0,39.0,36.0,19.0,40.0,-7.81,-20.47,1.84171413399,0.306952355666,0.30438175398,0.0507302923301,25.0,752944.0,25.0,20.0,
JFC0557,22.0,16.0,23.0,40.0,33.0,-12.69,-16.19,1.96539819675,0.280771170965,0.341355100343,0.0487650143347,28.0,868401.0,29.0,23.0,
ASD0577,40.0,48.0,36.0,14.0,37.0,-7.82,-23.79,0.553777715465,0.276888857733,0.341355100343,0.170677550172,2.0,68518.0,0.0,2.0,
MAR0955,36.0,44.0,23.0,44.0,25.0,-25.01,-37.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GRM0868,21.0,25.0,20.0,13.0,28.0,-4.17,-10.82,1.81623910034,0.302706516723,0.341355100343,0.0568925167239,183.0,5394816.0,0.0,98.0,
AAL0706,37.0,14.0,28.0,13.0,25.0,-5.93,-12.35,0.547754055028,0.273877027514,0.341355100343,0.170677550172,2.0,85110.0,0.0,2.0,
RVC0232,34.0,20.0,47.0,38.0,25.0,-11.99,-26.77,2.31923206598,0.289904008247,0.341355100343,0.0426693875429,9.0,274683.0,7.0,9.0,
TCD0009,44.0,28.0,44.0,38.0,23.0,-17.5,-33.37,2.62778655763,0.291976284181,0.341355100343,0.0379283444826,10.0,252186.0,4.0,10.0,
ASM0575,42.0,25.0,21.0,45.0,30.0,-23.5,-28.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JLM0364,35.0,22.0,15.0,25.0,37.0,-12.14,-13.09,2.0468327316,0.292404675942,0.291982910479,0.0417118443541,59.0,1769421.0,24.0,44.0,
FOB0756,42.0,41.0,34.0,20.0,27.0,-12.78,-28.13,1.19151023788,0.297877559471,0.341355100343,0.0853387750858,4.0,155730.0,5.0,4.0,
GCG0951,33.0,33.0,25.0,19.0,44.0,-6.54,-12.88,0.280136614098,0.280136614098,0.341355100343,0.341355100343,1.0,25556.0,2.0,1.0,
AAV0450,44.0,24.0,36.0,41.0,33.0,-17.75,-27.18,0.872414055403,0.290804685134,0.341355100343,0.113785033448,5.0,128810.0,6.0,5.0,
