user_id, o, c, e, a, n, cpb-i, cpb-o, dis_ocean, avg_dis_ocean, dis_os, avg_dis_os,cnt_send, cnt_s_size, cnt_s_attach, cnt_s_days
CEL0561,40.0,39.0,36.0,19.0,40.0,-7.81,-20.47,0.623014639859,0.31150731993,0.286702672782,0.143351336391,21.0,658953.0,24.0,16.0,
JFC0557,22.0,16.0,23.0,40.0,33.0,-12.69,-16.19,0.843659310263,0.281219770088,0.30438175398,0.10146058466,24.0,775255.0,26.0,19.0,
ASD0577,40.0,48.0,36.0,14.0,37.0,-7.82,-23.79,0.256645253915,0.256645253915,0.286702672782,0.286702672782,1.0,41201.0,0.0,1.0,
MAR0955,36.0,44.0,23.0,44.0,25.0,-25.01,-37.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GRM0868,21.0,25.0,20.0,13.0,28.0,-4.17,-10.82,0.621006430098,0.310503215049,0.286702672782,0.143351336391,110.0,3209568.0,0.0,70.0,
AAL0706,37.0,14.0,28.0,13.0,25.0,-5.93,-12.35,0.547754055028,0.273877027514,0.341355100343,0.170677550172,2.0,85110.0,0.0,2.0,
RVC0232,34.0,20.0,47.0,38.0,25.0,-11.99,-26.77,0.915826433592,0.305275477864,0.341355100343,0.113785033448,3.0,80325.0,1.0,3.0,
TCD0009,44.0,28.0,44.0,38.0,23.0,-17.5,-33.37,1.78108285816,0.296847143026,0.341355100343,0.0568925167239,7.0,179062.0,2.0,7.0,
ASM0575,42.0,25.0,21.0,45.0,30.0,-23.5,-28.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JLM0364,35.0,22.0,15.0,25.0,37.0,-12.14,-13.09,0.910628912412,0.303542970804,0.291982910479,0.0973276368263,55.0,1646506.0,24.0,40.0,
FOB0756,42.0,41.0,34.0,20.0,27.0,-12.78,-28.13,0.324235938554,0.324235938554,0.341355100343,0.341355100343,1.0,23127.0,2.0,1.0,
GCG0951,33.0,33.0,25.0,19.0,44.0,-6.54,-12.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HWY0038,47.0,39.0,40.0,22.0,24.0,-14.04,-31.45,1.24710552691,0.311776381728,0.286702672782,0.0716756681955,94.0,2824544.0,35.0,59.0,
AAV0450,44.0,24.0,36.0,41.0,33.0,-17.75,-27.18,0.872414055403,0.290804685134,0.341355100343,0.113785033448,5.0,128810.0,6.0,5.0,
CJV0286,18.0,14.0,17.0,13.0,26.0,-2.74,-5.81,0.734413512384,0.367206756192,0.341355100343,0.170677550172,8.0,241845.0,2.0,8.0,
TDG0962,42.0,40.0,36.0,26.0,21.0,-16.14,-33.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
SVL0803,27.0,35.0,20.0,36.0,32.0,-16.5,-24.27,0.323488896607,0.323488896607,0.341355100343,0.341355100343,1.0,31614.0,0.0,1.0,
MDM0625,18.0,42.0,36.0,27.0,24.0,-8.97,-27.09,2.29539157315,0.286923946644,0.291982910479,0.0364978638099,97.0,2911857.0,28.0,58.0,
GMF0738,30.0,40.0,45.0,20.0,18.0,-8.43,-30.24,2.6935995983,0.299288844256,0.341355100343,0.0379283444826,137.0,4119621.0,0.0,74.0,
BER0314,23.0,20.0,18.0,19.0,32.0,-6.09,-9.46,0.87736509906,0.29245503302,0.341355100343,0.113785033448,4.0,96316.0,0.0,3.0,
AMR0400,19.0,16.0,47.0,28.0,28.0,-1.83,-15.75,0.874906019489,0.29163533983,0.341355100343,0.113785033448,3.0,95958.0,0.0,3.0,
YCE0983,39.0,21.0,42.0,30.0,36.0,-8.82,-19.41,0.589730272828,0.294865136414,0.30438175398,0.15219087699,2.0,62903.0,4.0,2.0,
BJW0619,30.0,43.0,47.0,21.0,39.0,-3.8,-22.34,1.09489785512,0.27372446378,0.341355100343,0.0853387750858,59.0,1685493.0,27.0,37.0,
DPS0262,20.0,25.0,20.0,14.0,32.0,-3.34,-9.1,1.27643544922,0.638217724611,0.341355100343,0.170677550172,716.0,21507388.0,137.0,109.0,
TYB0779,24.0,20.0,35.0,36.0,34.0,-8.97,-17.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MAS0025,23.0,14.0,20.0,21.0,23.0,-7.65,-12.11,1.11060418642,0.277651046604,0.30438175398,0.0760954384951,4.0,87602.0,0.0,4.0,
KBL0260,16.0,15.0,48.0,16.0,32.0,5.6,-7.88,0.286535638621,0.286535638621,0.286702672782,0.286702672782,48.0,1400199.0,0.0,36.0,
GHL0460,21.0,37.0,24.0,17.0,35.0,-5.13,-14.93,0.303105683356,0.303105683356,0.286702672782,0.286702672782,2.0,59663.0,2.0,2.0,
FMG0527,43.0,38.0,35.0,38.0,28.0,-19.85,-34.09,1.45584846549,0.291169693098,0.286702672782,0.0573405345564,27.0,836010.0,23.0,22.0,
HCL0651,21.0,19.0,44.0,36.0,33.0,-5.9,-18.14,0.281410625216,0.281410625216,0.286702672782,0.286702672782,7.0,243340.0,15.0,7.0,
SCP0130,42.0,18.0,35.0,32.0,24.0,-14.73,-24.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CMW0783,21.0,35.0,14.0,16.0,26.0,-9.04,-16.67,0.287294511756,0.287294511756,0.341355100343,0.341355100343,1.0,44145.0,0.0,1.0,
RKF0164,40.0,42.0,17.0,18.0,42.0,-12.13,-18.16,0.524926675827,0.262463337913,0.30438175398,0.15219087699,2.0,75664.0,2.0,2.0,
DOL0332,32.0,40.0,41.0,18.0,24.0,-7.73,-26.62,0.66613940351,0.333069701755,0.30438175398,0.15219087699,2.0,84400.0,4.0,2.0,
RSC0089,41.0,26.0,35.0,21.0,29.0,-9.78,-20.87,1.23208495614,0.308021239035,0.286702672782,0.0716756681955,79.0,2280896.0,56.0,60.0,
CCM0136,16.0,16.0,39.0,40.0,29.0,-7.85,-18.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
NCH0179,17.0,12.0,40.0,17.0,25.0,1.67,-9.55,1.2983479652,0.259669593039,0.341355100343,0.0682710200686,5.0,142974.0,2.0,5.0,
NBH0256,41.0,43.0,14.0,21.0,22.0,-19.43,-29.12,0.284677308227,0.284677308227,0.286702672782,0.286702672782,73.0,2216541.0,51.0,54.0,
ORG0339,50.0,28.0,46.0,47.0,20.0,-23.39,-40.21,0.25107712084,0.25107712084,0.341355100343,0.341355100343,1.0,46915.0,0.0,1.0,
FRR0832,43.0,40.0,25.0,19.0,30.0,-14.02,-25.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MSD0939,24.0,37.0,15.0,42.0,31.0,-19.99,-26.73,0.290106734987,0.290106734987,0.341355100343,0.341355100343,2.0,91387.0,2.0,2.0,
OQH0183,34.0,38.0,18.0,33.0,23.0,-20.45,-30.1,0.593936449141,0.29696822457,0.341355100343,0.170677550172,2.0,67071.0,0.0,2.0,
BSH0445,38.0,22.0,30.0,15.0,21.0,-8.83,-19.06,0.578394663011,0.289197331506,0.341355100343,0.170677550172,26.0,768405.0,15.0,21.0,
KSP0357,41.0,40.0,29.0,19.0,24.0,-13.86,-27.84,0.577563050932,0.288781525466,0.341355100343,0.170677550172,55.0,1617457.0,16.0,40.0,
NGO0690,43.0,41.0,41.0,17.0,24.0,-10.76,-29.4,1.30302300327,0.325755750816,0.341355100343,0.0853387750858,26.0,821460.0,18.0,21.0,
VCC0396,21.0,45.0,16.0,37.0,23.0,-19.89,-31.33,1.21038686273,0.302596715683,0.341355100343,0.0853387750858,4.0,125333.0,3.0,4.0,
WDD0366,43.0,42.0,17.0,19.0,28.0,-16.82,-25.9,1.43490285509,0.286980571018,0.291982910479,0.0583965820958,35.0,1102069.0,32.0,29.0,
KPP0452,44.0,46.0,44.0,16.0,19.0,-11.88,-34.15,0.558950199866,0.279475099933,0.286702672782,0.143351336391,3.0,75370.0,3.0,3.0,
RTO0313,44.0,45.0,25.0,17.0,27.0,-14.98,-28.08,0.547350545645,0.273675272822,0.30438175398,0.15219087699,2.0,59785.0,0.0,2.0,
ABM0845,45.0,21.0,35.0,50.0,29.0,-22.65,-31.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
VIA0063,40.0,34.0,19.0,50.0,33.0,-26.27,-32.23,1.40221242643,0.350553106608,0.341355100343,0.0853387750858,12.0,361407.0,4.0,11.0,
BIH0745,43.0,39.0,50.0,27.0,25.0,-12.25,-33.23,1.78563772712,0.297606287853,0.286702672782,0.047783778797,92.0,2715962.0,103.0,50.0,
CCW0031,33.0,47.0,30.0,39.0,33.0,-18.77,-33.01,0.826813089047,0.275604363016,0.291982910479,0.0973276368263,3.0,51711.0,0.0,3.0,
IYB0918,17.0,21.0,42.0,14.0,30.0,3.22,-10.17,0.292684419627,0.292684419627,0.341355100343,0.341355100343,1.0,28791.0,0.0,1.0,
ORM0669,44.0,39.0,28.0,39.0,36.0,-20.57,-30.59,0.592078239049,0.296039119524,0.30438175398,0.15219087699,2.0,66837.0,1.0,2.0,
MJB0588,39.0,24.0,15.0,47.0,38.0,-22.88,-23.52,0.351188793985,0.351188793985,0.286702672782,0.286702672782,2.0,63780.0,1.0,2.0,
ALB0892,25.0,19.0,44.0,22.0,30.0,-1.8,-14.81,1.40219139924,0.280438279848,0.30438175398,0.0608763507961,33.0,1027373.0,11.0,26.0,
LIM0674,18.0,13.0,35.0,49.0,20.0,-15.0,-25.11,0.534475814785,0.267237907393,0.30438175398,0.15219087699,2.0,67243.0,0.0,2.0,
LHN0151,13.0,15.0,19.0,32.0,26.0,-9.07,-13.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WTR0563,47.0,45.0,46.0,15.0,31.0,-8.81,-28.65,0.560307033826,0.280153516913,0.30438175398,0.15219087699,18.0,589308.0,0.0,15.0,
MKS0204,21.0,30.0,21.0,16.0,31.0,-5.29,-12.96,0.626429072491,0.313214536246,0.341355100343,0.170677550172,3.0,87937.0,0.0,3.0,
AAW0353,49.0,45.0,19.0,25.0,34.0,-19.74,-28.6,1.10883260989,0.277208152472,0.341355100343,0.0853387750858,7.0,166009.0,0.0,7.0,
WJD0576,40.0,20.0,23.0,38.0,26.0,-19.55,-24.92,0.358117938876,0.358117938876,0.286702672782,0.286702672782,2.0,78273.0,0.0,2.0,
