user_id, o, c, e, a, n, cpb-i, cpb-o, dis_ocean, dis_os, email_ratio, cnt_send, cnt_s_size, cnt_s_attach, cnt_s_days
CEL0561,40.0,39.0,36.0,19.0,40.0,-7.81,-20.47,498.750545901,388.0,165.0,5017395.0,97.0,126.0,
JFC0557,22.0,16.0,23.0,40.0,33.0,-12.69,-16.19,566.548608802,376.0,234.0,7197758.0,222.0,149.0,
ASD0577,40.0,48.0,36.0,14.0,37.0,-7.82,-23.79,222.68700248,188.0,23.0,634662.0,0.0,23.0,
MAR0955,36.0,44.0,23.0,44.0,25.0,-25.01,-37.41,196.026702982,152.0,26.0,767719.0,0.0,25.0,
GRM0868,21.0,25.0,20.0,13.0,28.0,-4.17,-10.82,644.099310466,442.0,204.0,6058414.0,0.0,116.0,
AAL0706,37.0,14.0,28.0,13.0,25.0,-5.93,-12.35,140.369190981,108.0,17.0,561035.0,8.0,17.0,
RVC0232,34.0,20.0,47.0,38.0,25.0,-11.99,-26.77,570.776257936,400.0,281.0,8551006.0,166.0,159.0,
TCD0009,44.0,28.0,44.0,38.0,23.0,-17.5,-33.37,623.793059775,392.0,24.0,643195.0,16.0,24.0,
ASM0575,42.0,25.0,21.0,45.0,30.0,-23.5,-28.37,92.8190994345,90.0,24.0,728091.0,36.0,22.0,
JLM0364,35.0,22.0,15.0,25.0,37.0,-12.14,-13.09,776.433002858,528.0,504.0,15004511.0,161.0,223.0,
FOB0756,42.0,41.0,34.0,20.0,27.0,-12.78,-28.13,228.471430734,166.0,38.0,1212572.0,44.0,38.0,
GCG0951,33.0,33.0,25.0,19.0,44.0,-6.54,-12.88,198.737220132,168.0,39.0,1140637.0,26.0,34.0,
AAV0450,44.0,24.0,36.0,41.0,33.0,-17.75,-27.18,185.411589292,150.0,18.0,501713.0,17.0,17.0,
CJV0286,18.0,14.0,17.0,13.0,26.0,-2.74,-5.81,447.116902953,262.0,92.0,2951212.0,92.0,74.0,
TDG0962,42.0,40.0,36.0,26.0,21.0,-16.14,-33.21,187.804772822,188.0,32.0,974538.0,37.0,30.0,
SVL0803,27.0,35.0,20.0,36.0,32.0,-16.5,-24.27,578.933809402,408.0,24.0,786615.0,8.0,23.0,
MDM0625,18.0,42.0,36.0,27.0,24.0,-8.97,-27.09,1070.14299639,770.0,232.0,6910211.0,70.0,128.0,
GMF0738,30.0,40.0,45.0,20.0,18.0,-8.43,-30.24,830.961370927,570.0,391.0,12099021.0,0.0,182.0,
BER0314,23.0,20.0,18.0,19.0,32.0,-6.09,-9.46,922.945125457,606.0,291.0,8749247.0,53.0,166.0,
AMR0400,19.0,16.0,47.0,28.0,28.0,-1.83,-15.75,605.409820835,352.0,20.0,605735.0,0.0,20.0,
YCE0983,39.0,21.0,42.0,30.0,36.0,-8.82,-19.41,407.055588887,288.0,246.0,7591175.0,287.0,153.0,
BJW0619,30.0,43.0,47.0,21.0,39.0,-3.8,-22.34,1016.37617485,630.0,182.0,5384732.0,66.0,115.0,
TYB0779,24.0,20.0,35.0,36.0,34.0,-8.97,-17.78,386.385553513,270.0,31.0,885237.0,40.0,31.0,
KBL0260,16.0,15.0,48.0,16.0,32.0,5.6,-7.88,517.168150712,296.0,126.0,3743271.0,0.0,89.0,
FMG0527,43.0,38.0,35.0,38.0,28.0,-19.85,-34.09,395.918441014,318.0,74.0,2172667.0,77.0,60.0,
HCL0651,21.0,19.0,44.0,36.0,33.0,-5.9,-18.14,298.505923049,214.0,41.0,1231993.0,45.0,38.0,
SCP0130,42.0,18.0,35.0,32.0,24.0,-14.73,-24.46,140.863054814,122.0,52.0,1578975.0,58.0,47.0,
CMW0783,21.0,35.0,14.0,16.0,26.0,-9.04,-16.67,292.474443684,194.0,20.0,637686.0,0.0,18.0,
RKF0164,40.0,42.0,17.0,18.0,42.0,-12.13,-18.16,448.294864066,246.0,14.0,457125.0,7.0,13.0,
DOL0332,32.0,40.0,41.0,18.0,24.0,-7.73,-26.62,227.051035385,240.0,60.0,1826829.0,62.0,53.0,
RSC0089,41.0,26.0,35.0,21.0,29.0,-9.78,-20.87,346.518847242,308.0,174.0,5032034.0,126.0,104.0,
