MSO0222,6.5,15.5,2.0,1.0,8,-1
SAK0375,6.5,16.0,3.0,0.0,20,-1
JRS0362,6.5,16.0,3.0,0.0,20,-1
EIS0041,6.5,15.5,7.0,0.0,20,-1
MSH0040,6.5,15.5,2.0,2.0,20,-1
QNP0216,6.5,15.5,5.0,2.0,20,-1
FTM0406,8.0,18.0,4.0,6.0,14,4,2010-12-07,2010-12-15,2010-12-16,2010-12-17,
LBC0356,6.5,16.0,2.0,0.0,20,-1
HDS0367,6.5,16.0,4.0,0.0,20,-1
ACC0042,6.5,15.5,7.0,5.0,20,1,2010-12-21,
DFR0218,6.5,15.5,7.0,3.0,20,1,2010-12-17,
KJP0371,6.5,16.0,5.0,0.0,20,-1
WPR0368,6.5,16.0,9.0,0.0,27,-1
KSP0357,6.5,16.0,0.0,0.0,6,-1
WDD0366,6.5,16.0,6.0,0.0,20,-1
BAL0044,6.5,15.5,6.0,3.0,20,-1
MNS0224,6.5,15.5,5.0,2.0,20,-1
BKW0374,6.5,16.0,3.0,0.0,20,-1
JAV0361,6.5,16.0,6.0,0.0,20,-1
JCC0225,6.5,15.5,5.0,2.0,20,1,2010-12-29,
IBB0359,6.5,16.0,5.0,0.0,20,-1
AJF0370,6.5,16.0,6.0,0.0,23,-1
TSM0363,6.5,16.0,5.0,0.0,20,-1
RSC0089,8.0,16.5,0.0,0.0,23,-1
NGF0157,7.0,17.0,8.0,10.0,25,6,2010-12-16,2010-12-17,2010-12-21,2010-12-25,2010-12-26,2010-12-29,
DLM0051,7.0,15.5,9.0,0.0,26,-1
AJD0074,7.0,15.5,7.0,0.0,22,-1
EIM0156,7.0,17.0,9.0,11.0,20,7,2010-12-09,2010-12-15,2010-12-16,2010-12-17,2010-12-27,2010-12-29,2010-12-30,
KRG0158,7.0,16.0,9.0,4.0,20,3,2010-12-15,2010-12-17,2010-12-29,
KBB0189,7.5,15.5,0.0,0.0,20,-1
KBP0008,7.5,15.5,0.0,0.0,20,-1
HTH0007,7.0,16.0,6.0,7.0,20,3,2010-12-07,2010-12-16,2010-12-17,
CTR0341,7.5,18.0,0.0,0.0,28,-1
HFB0347,7.5,18.0,0.0,0.0,21,-1
ATP0662,9.0,19.0,13.0,15.0,25,11,2010-12-02,2010-12-06,2010-12-07,2010-12-08,2010-12-13,2010-12-15,2010-12-16,2010-12-23,2010-12-24,2010-12-27,2010-12-29,
CMB0912,7.5,16.0,0.0,0.0,26,-1
LAP0338,7.5,18.0,0.0,0.0,29,-1
MLM0950,7.5,16.0,0.0,1.0,24,-1
