user_id, o, c, e, a, n, cpb-i, cpb-o, dis_ocean, avg_dis_ocean, dis_os, avg_dis_os,cnt_send, cnt_s_size, cnt_s_attach, cnt_s_days
CEL0561,40.0,39.0,36.0,19.0,40.0,-7.81,-20.47,5.82888214054,0.306783270555,0.341355100343,0.0179660579128,165.0,5017395.0,97.0,126.0,
JFC0557,22.0,16.0,23.0,40.0,33.0,-12.69,-16.19,5.13389492008,0.285216384449,0.286702672782,0.0159279262657,234.0,7197758.0,222.0,149.0,
ASD0577,40.0,48.0,36.0,14.0,37.0,-7.82,-23.79,2.01290077079,0.287557252971,0.291982910479,0.0417118443541,23.0,634662.0,0.0,23.0,
MAR0955,36.0,44.0,23.0,44.0,25.0,-25.01,-37.41,1.68628856176,0.281048093626,0.286702672782,0.047783778797,26.0,767719.0,0.0,25.0,
GRM0868,21.0,25.0,20.0,13.0,28.0,-4.17,-10.82,6.89818349251,0.299921021413,0.341355100343,0.0148415261019,204.0,6058414.0,0.0,116.0,
AAL0706,37.0,14.0,28.0,13.0,25.0,-5.93,-12.35,1.47271565176,0.294543130351,0.286702672782,0.0573405345564,17.0,561035.0,8.0,17.0,
RVC0232,34.0,20.0,47.0,38.0,25.0,-11.99,-26.77,5.52349738989,0.290710388942,0.291982910479,0.0153675216042,281.0,8551006.0,166.0,159.0,
TCD0009,44.0,28.0,44.0,38.0,23.0,-17.5,-33.37,6.54784864987,0.297629484085,0.341355100343,0.0155161409247,24.0,643195.0,16.0,24.0,
ASM0575,42.0,25.0,21.0,45.0,30.0,-23.5,-28.37,0.854362049641,0.28478734988,0.286702672782,0.0955675575939,24.0,728091.0,36.0,22.0,
JLM0364,35.0,22.0,15.0,25.0,37.0,-12.14,-13.09,7.54275926309,0.290106125503,0.30438175398,0.0117069905377,504.0,15004511.0,161.0,223.0,
FOB0756,42.0,41.0,34.0,20.0,27.0,-12.78,-28.13,2.72287034637,0.302541149597,0.341355100343,0.0379283444826,38.0,1212572.0,44.0,38.0,
GCG0951,33.0,33.0,25.0,19.0,44.0,-6.54,-12.88,2.0506551779,0.2929507397,0.286702672782,0.0409575246831,39.0,1140637.0,26.0,34.0,
AAV0450,44.0,24.0,36.0,41.0,33.0,-17.75,-27.18,1.74252372835,0.290420621392,0.291982910479,0.0486638184132,18.0,501713.0,17.0,17.0,
CJV0286,18.0,14.0,17.0,13.0,26.0,-2.74,-5.81,3.41553532906,0.284627944088,0.341355100343,0.0284462583619,92.0,2951212.0,92.0,74.0,
TDG0962,42.0,40.0,36.0,26.0,21.0,-16.14,-33.21,2.08733497034,0.298190710048,0.286702672782,0.0409575246831,32.0,974538.0,37.0,30.0,
SVL0803,27.0,35.0,20.0,36.0,32.0,-16.5,-24.27,6.21112618145,0.295767913402,0.341355100343,0.0162550047782,24.0,786615.0,8.0,23.0,
MDM0625,18.0,42.0,36.0,27.0,24.0,-8.97,-27.09,11.2425884719,0.295857591366,0.341355100343,0.0089830289564,232.0,6910211.0,70.0,128.0,
GMF0738,30.0,40.0,45.0,20.0,18.0,-8.43,-30.24,8.54952958416,0.294811364971,0.341355100343,0.0117708655291,391.0,12099021.0,0.0,182.0,
BER0314,23.0,20.0,18.0,19.0,32.0,-6.09,-9.46,9.41850059765,0.294328143676,0.341355100343,0.0106673468857,291.0,8749247.0,53.0,166.0,
AMR0400,19.0,16.0,47.0,28.0,28.0,-1.83,-15.75,5.24316537381,0.291286965211,0.341355100343,0.0189641722413,20.0,605735.0,0.0,20.0,
YCE0983,39.0,21.0,42.0,30.0,36.0,-8.82,-19.41,4.45521186436,0.297014124291,0.297837646493,0.0198558430995,246.0,7591175.0,287.0,153.0,
BJW0619,30.0,43.0,47.0,21.0,39.0,-3.8,-22.34,9.90595495725,0.29135161639,0.341355100343,0.0100398558924,182.0,5384732.0,66.0,115.0,
TYB0779,24.0,20.0,35.0,36.0,34.0,-8.97,-17.78,4.13950677991,0.295679055708,0.341355100343,0.0243825071674,31.0,885237.0,40.0,31.0,
KBL0260,16.0,15.0,48.0,16.0,32.0,5.6,-7.88,4.22868397712,0.281912265141,0.341355100343,0.0227570066895,126.0,3743271.0,0.0,89.0,
