user_id,O_Score,C_Score,E_Score,A_Score,N_Score,CPB-I,CPB-O,JS_Score,Team_CPB-I-mean,Team_CPB-O-mean,Users-less-mean-A,Users-less-mean-A and C,Users-less-mean-C,Users-High-mean-N,Team_CPB-I-median,Team_CPB-O-median,leader-CPB-I,leader-CPB-O,dis_ocean,avg_dis_ocean,dis_os,avg_dis_os,cnt_send,cnt_send_size,cnt_send_attach,cnt_send_days,cnt_email_days,cnt_late_days,cnt_early_days,month_work_days,
CEL0561,40.0,39.0,36.0,19.0,40.0,-7.81,-20.47,11.35,-8.663333333333332,-19.153333333333336,10,5,8,13,-5.51,0,0,5.82888214054,0.306783270555,0.341355100343,0.0179660579128,165.0,5017395.0,97.0,126.0,88.0,91.0,251.0,
JFC0557,22.0,16.0,23.0,40.0,33.0,-12.69,-16.19,11.93,-8.338,-19.438666666666663,11,5,7,13,-7.829999999999998,0,0,5.13389492008,0.285216384449,0.286702672782,0.0159279262657,234.0,7197758.0,222.0,149.0,112.0,112.0,251.0,
ASD0577,40.0,48.0,36.0,14.0,37.0,-7.82,-23.79,12.47,-16.380666666666666,-23.899,10,5,16,18,-18.814999999999998,0,0,2.01290077079,0.287557252971,0.291982910479,0.0417118443541,23.0,634662.0,0.0,23.0,63.0,59.0,251.0,
MAR0955,36.0,44.0,23.0,44.0,25.0,-25.01,-37.41,22.29,-11.093666666666667,-20.320999999999998,21,15,21,11,-10.825,0,0,1.68628856176,0.281048093626,0.286702672782,0.047783778797,26.0,767719.0,0.0,25.0,0.0,0.0,251.0,
GRM0868,21.0,25.0,20.0,13.0,28.0,-4.17,-10.82,6.37,-11.758000000000003,-21.769666666666666,15,9,13,15,-13.775000000000002,0,0,6.89818349251,0.299921021413,0.341355100343,0.0148415261019,204.0,6058414.0,0.0,116.0,0.0,0.0,251.0,
AAL0706,37.0,14.0,28.0,13.0,25.0,-5.93,-12.35,6.56,-10.249666666666668,-20.385666666666665,19,10,16,18,-9.010000000000002,0,0,1.47271565176,0.294543130351,0.286702672782,0.0573405345564,17.0,561035.0,8.0,17.0,0.0,0.0,251.0,
RVC0232,34.0,20.0,47.0,38.0,25.0,-11.99,-26.77,16.91,-13.053999999999998,-23.732666666666667,9,5,6,7,-12.690000000000001,0,0,5.52349738989,0.290710388942,0.291982910479,0.0153675216042,281.0,8551006.0,166.0,159.0,117.0,112.0,251.0,
TCD0009,44.0,28.0,44.0,38.0,23.0,-17.5,-33.37,19.69,0,0,0,0,0,0,0,0,0,6.54784864987,0.297629484085,0.341355100343,0.0155161409247,24.0,643195.0,16.0,24.0,0.0,112.0,251.0,
ASM0575,42.0,25.0,21.0,45.0,30.0,-23.5,-28.37,17.59,-15.858,-23.746333333333332,11,5,15,18,-19.28,0,0,0.854362049641,0.28478734988,0.286702672782,0.0955675575939,24.0,728091.0,36.0,22.0,112.0,102.0,251.0,
JLM0364,35.0,22.0,15.0,25.0,37.0,-12.14,-13.09,8.08,-15.272,-24.610500000000002,11,5,7,12,-14.610000000000001,0,0,7.54275926309,0.290106125503,0.30438175398,0.0117069905377,504.0,15004511.0,161.0,223.0,78.0,0.0,251.0,
