user_id, o, c, e, a, n, cpb-i, cpb-o, dis_ocean, avg_dis_ocean, dis_os, avg_dis_os,cnt_send, cnt_s_size, cnt_s_attach, cnt_s_days
CEL0561,40.0,39.0,36.0,19.0,40.0,-7.81,-20.47,0.623014639859,0.31150731993,0.286702672782,0.143351336391,21.0,658953.0,24.0,16.0,
CRD0624,26.0,22.0,17.0,39.0,32.0,-16.16,-19.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JFC0557,22.0,16.0,23.0,40.0,33.0,-12.69,-16.19,0.276376081116,0.276376081116,0.286702672782,0.286702672782,22.0,730992.0,23.0,17.0,
ASD0577,40.0,48.0,36.0,14.0,37.0,-7.82,-23.79,0.256645253915,0.256645253915,0.286702672782,0.286702672782,1.0,41201.0,0.0,1.0,
MAR0955,36.0,44.0,23.0,44.0,25.0,-25.01,-37.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GRM0868,21.0,25.0,20.0,13.0,28.0,-4.17,-10.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AAL0706,37.0,14.0,28.0,13.0,25.0,-5.93,-12.35,0.273020702525,0.273020702525,0.341355100343,0.341355100343,1.0,31054.0,0.0,1.0,
RVC0232,34.0,20.0,47.0,38.0,25.0,-11.99,-26.77,0.274873766011,0.274873766011,0.341355100343,0.341355100343,1.0,38033.0,1.0,1.0,
TCD0009,44.0,28.0,44.0,38.0,23.0,-17.5,-33.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ASM0575,42.0,25.0,21.0,45.0,30.0,-23.5,-28.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DAR0885,43.0,43.0,44.0,41.0,25.0,-20.41,-40.01,0.332485949823,0.332485949823,0.286702672782,0.286702672782,3.0,98636.0,4.0,3.0,
JLM0364,35.0,22.0,15.0,25.0,37.0,-12.14,-13.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FOB0756,42.0,41.0,34.0,20.0,27.0,-12.78,-28.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GCG0951,33.0,33.0,25.0,19.0,44.0,-6.54,-12.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HWY0038,47.0,39.0,40.0,22.0,24.0,-14.04,-31.45,0.388036877253,0.388036877253,0.341355100343,0.341355100343,1.0,39294.0,0.0,1.0,
AAV0450,44.0,24.0,36.0,41.0,33.0,-17.75,-27.18,0.329486967823,0.329486967823,0.286702672782,0.286702672782,2.0,37595.0,2.0,2.0,
CJV0286,18.0,14.0,17.0,13.0,26.0,-2.74,-5.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TDG0962,42.0,40.0,36.0,26.0,21.0,-16.14,-33.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
SVL0803,27.0,35.0,20.0,36.0,32.0,-16.5,-24.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QOS0878,18.0,12.0,20.0,16.0,29.0,-2.24,-5.11,0.693030184212,0.346515092106,0.341355100343,0.170677550172,2.0,54303.0,1.0,2.0,
MDM0625,18.0,42.0,36.0,27.0,24.0,-8.97,-27.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GMF0738,30.0,40.0,45.0,20.0,18.0,-8.43,-30.24,0.911335794798,0.303778598266,0.341355100343,0.113785033448,18.0,585739.0,0.0,13.0,
BER0314,23.0,20.0,18.0,19.0,32.0,-6.09,-9.46,0.271680822619,0.271680822619,0.30438175398,0.30438175398,1.0,14100.0,0.0,1.0,
AMR0400,19.0,16.0,47.0,28.0,28.0,-1.83,-15.75,0.256473212954,0.256473212954,0.291982910479,0.291982910479,1.0,29265.0,0.0,1.0,
YCE0983,39.0,21.0,42.0,30.0,36.0,-8.82,-19.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BJW0619,30.0,43.0,47.0,21.0,39.0,-3.8,-22.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DPS0262,20.0,25.0,20.0,14.0,32.0,-3.34,-9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TYB0779,24.0,20.0,35.0,36.0,34.0,-8.97,-17.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MAS0025,23.0,14.0,20.0,21.0,23.0,-7.65,-12.11,0.261888996672,0.261888996672,0.341355100343,0.341355100343,1.0,21662.0,0.0,1.0,
KBL0260,16.0,15.0,48.0,16.0,32.0,5.6,-7.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GHL0460,21.0,37.0,24.0,17.0,35.0,-5.13,-14.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FMG0527,43.0,38.0,35.0,38.0,28.0,-19.85,-34.09,0.613999964478,0.306999982239,0.341355100343,0.170677550172,7.0,177304.0,10.0,6.0,
HCL0651,21.0,19.0,44.0,36.0,33.0,-5.9,-18.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
SCP0130,42.0,18.0,35.0,32.0,24.0,-14.73,-24.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CMW0783,21.0,35.0,14.0,16.0,26.0,-9.04,-16.67,0.287294511756,0.287294511756,0.341355100343,0.341355100343,1.0,44145.0,0.0,1.0,
RKF0164,40.0,42.0,17.0,18.0,42.0,-12.13,-18.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DOL0332,32.0,40.0,41.0,18.0,24.0,-7.73,-26.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
RSC0089,41.0,26.0,35.0,21.0,29.0,-9.78,-20.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CCM0136,16.0,16.0,39.0,40.0,29.0,-7.85,-18.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
NCH0179,17.0,12.0,40.0,17.0,25.0,1.67,-9.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
NBH0256,41.0,43.0,14.0,21.0,22.0,-19.43,-29.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ORG0339,50.0,28.0,46.0,47.0,20.0,-23.39,-40.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FRR0832,43.0,40.0,25.0,19.0,30.0,-14.02,-25.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MSD0939,24.0,37.0,15.0,42.0,31.0,-19.99,-26.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
OQH0183,34.0,38.0,18.0,33.0,23.0,-20.45,-30.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BSH0445,38.0,22.0,30.0,15.0,21.0,-8.83,-19.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
KSP0357,41.0,40.0,29.0,19.0,24.0,-13.86,-27.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
NGO0690,43.0,41.0,41.0,17.0,24.0,-10.76,-29.4,1.01324151987,0.337747173291,0.341355100343,0.113785033448,25.0,803382.0,17.0,20.0,
VCC0396,21.0,45.0,16.0,37.0,23.0,-19.89,-31.33,0.3011461413,0.3011461413,0.341355100343,0.341355100343,1.0,14530.0,1.0,1.0,
WDD0366,43.0,42.0,17.0,19.0,28.0,-16.82,-25.9,0.286410954264,0.286410954264,0.341355100343,0.341355100343,1.0,56268.0,1.0,1.0,
KPP0452,44.0,46.0,44.0,16.0,19.0,-11.88,-34.15,0.290341133875,0.290341133875,0.286702672782,0.286702672782,2.0,51650.0,2.0,2.0,
RTO0313,44.0,45.0,25.0,17.0,27.0,-14.98,-28.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ABM0845,45.0,21.0,35.0,50.0,29.0,-22.65,-31.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
VIA0063,40.0,34.0,19.0,50.0,33.0,-26.27,-32.23,0.714208662597,0.357104331298,0.341355100343,0.170677550172,10.0,304894.0,1.0,9.0,
BIH0745,43.0,39.0,50.0,27.0,25.0,-12.25,-33.23,0.309015509448,0.309015509448,0.286702672782,0.286702672782,13.0,379587.0,19.0,10.0,
CCW0031,33.0,47.0,30.0,39.0,33.0,-18.77,-33.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
IYB0918,17.0,21.0,42.0,14.0,30.0,3.22,-10.17,0.292684419627,0.292684419627,0.341355100343,0.341355100343,1.0,28791.0,0.0,1.0,
ORM0669,44.0,39.0,28.0,39.0,36.0,-20.57,-30.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MJB0588,39.0,24.0,15.0,47.0,38.0,-22.88,-23.52,0.351188793985,0.351188793985,0.286702672782,0.286702672782,2.0,63780.0,1.0,2.0,
ALB0892,25.0,19.0,44.0,22.0,30.0,-1.8,-14.81,0.556510551939,0.278255275969,0.286702672782,0.143351336391,15.0,447829.0,5.0,14.0,
LIM0674,18.0,13.0,35.0,49.0,20.0,-15.0,-25.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LHN0151,13.0,15.0,19.0,32.0,26.0,-9.07,-13.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WTR0563,47.0,45.0,46.0,15.0,31.0,-8.81,-28.65,0.297956664773,0.297956664773,0.286702672782,0.286702672782,17.0,555541.0,0.0,14.0,
MKS0204,21.0,30.0,21.0,16.0,31.0,-5.29,-12.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AAW0353,49.0,45.0,19.0,25.0,34.0,-19.74,-28.6,0.313693265805,0.313693265805,0.286702672782,0.286702672782,2.0,47404.0,0.0,2.0,
WJD0576,40.0,20.0,23.0,38.0,26.0,-19.55,-24.92,0.358117938876,0.358117938876,0.286702672782,0.286702672782,2.0,78273.0,0.0,2.0,
ILH0958,28.0,17.0,20.0,19.0,24.0,-8.53,-13.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
