02/01/2010 00:16:44,JAJ0849,PC-9819,Logon,
02/01/2010 00:19:22,WPR0368,PC-1736,Logon,
02/01/2010 00:22:13,MPM0220,PC-3842,Logon,
02/01/2010 00:23:19,WDD0366,PC-6380,Logon,
02/01/2010 00:25:15,MPM0220,PC-3842,Logoff,
02/01/2010 00:25:41,WPR0368,PC-1736,Logoff,
02/01/2010 00:27:22,WPR0368,PC-0191,Logon,
02/01/2010 00:32:02,WPR0368,PC-0191,Logoff,
02/01/2010 00:42:50,WDD0366,PC-6380,Logoff,
02/01/2010 00:53:35,WPR0368,PC-2368,Logon,
02/01/2010 00:56:31,WPR0368,PC-2368,Logoff,
02/01/2010 01:01:37,LBC0356,PC-3093,Logon,
02/01/2010 01:07:10,KRV0372,PC-8486,Logon,
02/01/2010 01:16:41,JLM0364,PC-1620,Logon,
02/01/2010 01:18:02,LBC0356,PC-3093,Logoff,
02/01/2010 01:20:44,BVC0790,PC-0008,Logon,
02/01/2010 01:21:50,KRV0372,PC-8486,Logoff,
02/01/2010 01:25:53,BSS0369,PC-4925,Logon,
02/01/2010 01:26:05,WDD0366,PC-6113,Logon,
02/01/2010 01:26:49,MNS0224,PC-0982,Logon,
02/01/2010 01:27:44,BSS0369,PC-4925,Logoff,
02/01/2010 01:28:11,MNS0224,PC-0982,Logoff,
02/01/2010 01:29:24,MPM0220,PC-8851,Logon,
02/01/2010 01:32:23,JAV0361,PC-0925,Logon,
02/01/2010 01:33:44,MPM0220,PC-8851,Logoff,
02/01/2010 01:33:54,JLM0364,PC-1620,Logoff,
02/01/2010 01:34:52,JAV0361,PC-0925,Logoff,
02/01/2010 01:35:46,WDD0366,PC-6113,Logoff,
02/01/2010 01:37:34,ACC0042,PC-2777,Logon,
02/01/2010 01:44:02,DMG0358,PC-1283,Logon,
02/01/2010 01:47:06,KSP0357,PC-7236,Logon,
02/01/2010 01:48:45,ACC0042,PC-2777,Logoff,
02/01/2010 01:49:24,CSC0217,PC-6165,Logon,
02/01/2010 01:50:25,KSP0357,PC-7236,Logoff,
02/01/2010 02:01:52,DMG0358,PC-1283,Logoff,
02/01/2010 02:08:01,CSC0217,PC-6165,Logoff,
02/01/2010 02:19:58,CCA0046,PC-7974,Logon,
02/01/2010 02:33:12,KRV0372,PC-4479,Logon,
02/01/2010 02:34:17,JLM0364,PC-3622,Logon,
02/01/2010 02:34:33,CCA0046,PC-7974,Logoff,
02/01/2010 02:34:55,LBC0356,PC-8654,Logon,
02/01/2010 02:41:23,LBC0356,PC-8654,Logoff,
02/01/2010 02:46:26,KRV0372,PC-4479,Logoff,
02/01/2010 02:48:56,DMG0358,PC-3285,Logon,
02/01/2010 02:51:20,JLM0364,PC-3622,Logoff,
02/01/2010 02:54:00,MNS0224,PC-9653,Logon,
02/01/2010 02:58:38,GTD0219,PC-1480,Logon,
02/01/2010 03:02:11,BVC0790,PC-0008,Logoff,
02/01/2010 03:03:44,DMG0358,PC-3285,Logoff,
02/01/2010 03:08:24,KRV0372,PC-8508,Logon,
02/01/2010 03:09:29,MNS0224,PC-9653,Logoff,
02/01/2010 03:13:58,MVH0373,PC-0216,Logon,
02/01/2010 03:16:08,BBS0039,PC-4707,Logon,
02/01/2010 03:17:08,GTD0219,PC-1480,Logoff,
